Node_type;Gene;GEX_celltype_Log2FC_Delta;GEX_celltype_Log2FC_Epsprogenitors;GEX_celltype_Log2FC_Epsilon;GEX_celltype_Log2FC_Fev+Delta;Region;Gene_signature_name
Gene;Klc3;-0.7428053;0.67442435;-0.038058504;0.71965367;chr7:19388362-19389274;Neurod2_+_(303g)
Gene;Klc3;-0.7428053;0.67442435;-0.038058504;0.71965367;chr7:19429431-19430312;Neurod2_+_(303g)
Gene;Prex2;-1.6155901;0.12859894;-0.6072319;0.6741738;chr1:11340269-11341187;Neurod2_+_(303g)
Gene;Prex2;-1.6155901;0.12859894;-0.6072319;0.6741738;chr1:11158266-11159168;Neurod2_+_(303g)
Gene;Prex2;-1.6155901;0.12859894;-0.6072319;0.6741738;chr1:11137835-11138760;Neurod2_+_(303g)
Gene;Prex2;-1.6155901;0.12859894;-0.6072319;0.6741738;chr1:11033267-11034283;Neurod2_+_(303g)
Gene;Myt1;-0.12259519;0.50675637;0.062396828;0.6460956;chr2:181653091-181654060;Neurod2_+_(303g)
Gene;Myt1;-0.12259519;0.50675637;0.062396828;0.6460956;chr2:181760906-181761816;Neurod2_+_(303g)
Gene;Myt1;-0.12259519;0.50675637;0.062396828;0.6460956;chr2:181690105-181691022;Neurod2_+_(303g)
Gene;Myt1;-0.12259519;0.50675637;0.062396828;0.6460956;chr2:181832515-181833355;Neurod2_+_(303g)
Gene;Myt1;-0.12259519;0.50675637;0.062396828;0.6460956;chr2:181763559-181764322;Neurod2_+_(303g)
Gene;Myt1;-0.12259519;0.50675637;0.062396828;0.6460956;chr2:181775546-181776476;Neurod2_+_(303g)
Gene;Myt1;-0.12259519;0.50675637;0.062396828;0.6460956;chr2:181762613-181763429;Neurod2_+_(303g)
Gene;Myt1;-0.12259519;0.50675637;0.062396828;0.6460956;chr2:181727442-181728429;Neurod2_+_(303g)
Gene;Myt1;-0.12259519;0.50675637;0.062396828;0.6460956;chr2:181684151-181684968;Neurod2_+_(303g)
Gene;Tspan11;-2.4083722;-0.050174356;-24.406467;0.6352108;chr6:127979603-127980424;Neurod2_+_(303g)
Gene;Tspan11;-2.4083722;-0.050174356;-24.406467;0.6352108;chr6:128022276-128022988;Neurod2_+_(303g)
Gene;Ccdc120;0.37738022;0.46127787;0.06925186;0.59885204;chrX:7640533-7641509;Neurod2_+_(303g)
Gene;Ccdc120;0.37738022;0.46127787;0.06925186;0.59885204;chrX:7797039-7797906;Neurod2_+_(303g)
Gene;Wdr47;-0.12892647;0.44036987;0.26080397;0.56992054;chr3:108510810-108511716;Neurod2_+_(303g)
Gene;Wdr47;-0.12892647;0.44036987;0.26080397;0.56992054;chr3:108504430-108505243;Neurod2_+_(303g)
Gene;Nmnat3;-0.022387613;0.27726534;0.067186;0.5628352;chr9:98399964-98400858;Neurod2_+_(303g)
Gene;Nmnat3;-0.022387613;0.27726534;0.067186;0.5628352;chr9:98529498-98530421;Neurod2_+_(303g)
Gene;Nmnat3;-0.022387613;0.27726534;0.067186;0.5628352;chr9:98246211-98247077;Neurod2_+_(303g)
Gene;Nmnat3;-0.022387613;0.27726534;0.067186;0.5628352;chr9:98228637-98229563;Neurod2_+_(303g)
Gene;Nmnat3;-0.022387613;0.27726534;0.067186;0.5628352;chr9:98521112-98522077;Neurod2_+_(303g)
Gene;Ephb2;-0.18421264;0.19003943;-0.15388113;0.54596066;chr4:136949107-136950071;Neurod2_+_(303g)
Gene;Ephb2;-0.18421264;0.19003943;-0.15388113;0.54596066;chr4:136912456-136913352;Neurod2_+_(303g)
Gene;Ephb2;-0.18421264;0.19003943;-0.15388113;0.54596066;chr4:136937029-136937982;Neurod2_+_(303g)
Gene;Ephb2;-0.18421264;0.19003943;-0.15388113;0.54596066;chr4:136864496-136865461;Neurod2_+_(303g)
Gene;Ephb2;-0.18421264;0.19003943;-0.15388113;0.54596066;chr4:136672446-136673248;Neurod2_+_(303g)
Gene;Ephb2;-0.18421264;0.19003943;-0.15388113;0.54596066;chr4:136699401-136699896;Neurod2_+_(303g)
Gene;Ephb2;-0.18421264;0.19003943;-0.15388113;0.54596066;chr4:136974740-136975514;Neurod2_+_(303g)
Gene;Ephb2;-0.18421264;0.19003943;-0.15388113;0.54596066;chr4:136854826-136855750;Neurod2_+_(303g)
Gene;Ephb2;-0.18421264;0.19003943;-0.15388113;0.54596066;chr4:136914242-136915187;Neurod2_+_(303g)
Gene;Ephb2;-0.18421264;0.19003943;-0.15388113;0.54596066;chr4:136856480-136857395;Neurod2_+_(303g)
Gene;Mapk7;-0.40304643;0.24832213;-0.30662164;0.5424516;chr11:61550438-61551312;Neurod2_+_(303g)
Gene;Mapk7;-0.40304643;0.24832213;-0.30662164;0.5424516;chr11:61487149-61488075;Neurod2_+_(303g)
Gene;Mapk7;-0.40304643;0.24832213;-0.30662164;0.5424516;chr11:61484355-61485269;Neurod2_+_(303g)
Gene;Mapk7;-0.40304643;0.24832213;-0.30662164;0.5424516;chr11:61478032-61478880;Neurod2_+_(303g)
Gene;Mapk7;-0.40304643;0.24832213;-0.30662164;0.5424516;chr11:61611887-61612849;Neurod2_+_(303g)
Gene;Bckdha;-0.28207958;0.2982548;0.42542762;0.5359974;chr7:25655415-25656390;Neurod2_+_(303g)
Gene;Krt7;-0.5956057;0.3117741;0.110468075;0.5237458;chr15:101426112-101427011;Neurod2_+_(303g)
Gene;Krt7;-0.5956057;0.3117741;0.110468075;0.5237458;chr15:101493954-101494890;Neurod2_+_(303g)
Gene;Krt7;-0.5956057;0.3117741;0.110468075;0.5237458;chr15:101333141-101333848;Neurod2_+_(303g)
Gene;Krt7;-0.5956057;0.3117741;0.110468075;0.5237458;chr15:101434756-101435677;Neurod2_+_(303g)
Gene;Krt7;-0.5956057;0.3117741;0.110468075;0.5237458;chr15:101329201-101330084;Neurod2_+_(303g)
Gene;Krt7;-0.5956057;0.3117741;0.110468075;0.5237458;chr15:101373154-101374070;Neurod2_+_(303g)
Gene;Krt7;-0.5956057;0.3117741;0.110468075;0.5237458;chr15:101369820-101370780;Neurod2_+_(303g)
Gene;Slc36a1;-0.85106254;0.12578553;-0.12891962;0.51784;chr11:55264051-55264942;Neurod2_+_(303g)
Gene;Slc36a1;-0.85106254;0.12578553;-0.12891962;0.51784;chr11:55265482-55266349;Neurod2_+_(303g)
Gene;Slc36a1;-0.85106254;0.12578553;-0.12891962;0.51784;chr11:55300189-55301044;Neurod2_+_(303g)
Gene;Slc36a1;-0.85106254;0.12578553;-0.12891962;0.51784;chr11:55234568-55235516;Neurod2_+_(303g)
Gene;H2-Q2;-1.2876269;0.2987065;0.010606939;0.49413368;chr17:35229246-35230211;Neurod2_+_(303g)
Gene;H2-Q2;-1.2876269;0.2987065;0.010606939;0.49413368;chr17:35338314-35339194;Neurod2_+_(303g)
Gene;H2-Q2;-1.2876269;0.2987065;0.010606939;0.49413368;chr17:35348589-35349458;Neurod2_+_(303g)
Gene;Atp13a3;-0.37197828;0.2750649;0.04524631;0.42256197;chr16:30499100-30500029;Neurod2_+_(303g)
Gene;Atp13a3;-0.37197828;0.2750649;0.04524631;0.42256197;chr16:30527616-30528553;Neurod2_+_(303g)
Gene;Atp13a3;-0.37197828;0.2750649;0.04524631;0.42256197;chr16:30513393-30514307;Neurod2_+_(303g)
Gene;Atp13a3;-0.37197828;0.2750649;0.04524631;0.42256197;chr16:30215570-30216448;Neurod2_+_(303g)
Gene;Atp13a3;-0.37197828;0.2750649;0.04524631;0.42256197;chr16:30522169-30523017;Neurod2_+_(303g)
Gene;Atp13a3;-0.37197828;0.2750649;0.04524631;0.42256197;chr16:30507008-30507944;Neurod2_+_(303g)
Gene;Atp13a3;-0.37197828;0.2750649;0.04524631;0.42256197;chr16:30259689-30260593;Neurod2_+_(303g)
Gene;Psmc2;-0.8244617;0.37455216;-0.051335935;0.41854513;chr5:21788873-21789769;Neurod2_+_(303g)
Gene;Psmc2;-0.8244617;0.37455216;-0.051335935;0.41854513;chr5:21721761-21722601;Neurod2_+_(303g)
Gene;Pkn1;-0.5477594;0.3824424;-0.3120643;0.41546673;chr8:83838321-83839255;Neurod2_+_(303g)
Gene;Pkn1;-0.5477594;0.3824424;-0.3120643;0.41546673;chr8:83587259-83588194;Neurod2_+_(303g)
Gene;Pkn1;-0.5477594;0.3824424;-0.3120643;0.41546673;chr8:83592039-83592909;Neurod2_+_(303g)
Gene;Pkn1;-0.5477594;0.3824424;-0.3120643;0.41546673;chr8:83584600-83585484;Neurod2_+_(303g)
Gene;Pkn1;-0.5477594;0.3824424;-0.3120643;0.41546673;chr8:83748542-83749417;Neurod2_+_(303g)
Gene;Cyth2;-0.6538777;0.3622256;0.0051983315;0.40290326;chr7:45686635-45687607;Neurod2_+_(303g)
Gene;Cyth2;-0.6538777;0.3622256;0.0051983315;0.40290326;chr7:45665211-45666175;Neurod2_+_(303g)
Gene;Cyth2;-0.6538777;0.3622256;0.0051983315;0.40290326;chr7:45759132-45760049;Neurod2_+_(303g)
Gene;Cyth2;-0.6538777;0.3622256;0.0051983315;0.40290326;chr7:45755448-45756315;Neurod2_+_(303g)
Gene;Cyth2;-0.6538777;0.3622256;0.0051983315;0.40290326;chr7:45850380-45851236;Neurod2_+_(303g)
Gene;Cyth2;-0.6538777;0.3622256;0.0051983315;0.40290326;chr7:45950597-45951552;Neurod2_+_(303g)
Gene;Cyth2;-0.6538777;0.3622256;0.0051983315;0.40290326;chr7:45660882-45661728;Neurod2_+_(303g)
Gene;Cyth2;-0.6538777;0.3622256;0.0051983315;0.40290326;chr7:45667398-45668282;Neurod2_+_(303g)
Gene;Zfp451;-0.61272883;0.30609524;0.019805301;0.31796917;chr1:33693610-33694556;Neurod2_+_(303g)
Gene;Zfp451;-0.61272883;0.30609524;0.019805301;0.31796917;chr1:33733854-33734779;Neurod2_+_(303g)
Gene;Zfp451;-0.61272883;0.30609524;0.019805301;0.31796917;chr1:33843556-33844482;Neurod2_+_(303g)
Gene;Pax4;-2.1526575;0.052642155;-1.7962155;0.22523293;chr6:28448830-28449663;Neurod2_+_(303g)
Gene;Pax4;-2.1526575;0.052642155;-1.7962155;0.22523293;chr6:28516364-28517257;Neurod2_+_(303g)
Gene;Pax4;-2.1526575;0.052642155;-1.7962155;0.22523293;chr6:28393776-28394775;Neurod2_+_(303g)
Gene;Dyrk2;-0.2835176;0.10143804;-0.45810086;0.19650109;chr10:118746816-118747755;Neurod2_+_(303g)
Gene;Dyrk2;-0.2835176;0.10143804;-0.45810086;0.19650109;chr10:118761075-118762016;Neurod2_+_(303g)
Gene;Dyrk2;-0.2835176;0.10143804;-0.45810086;0.19650109;chr10:118923493-118924403;Neurod2_+_(303g)
Gene;Synpr;-1.3091011;-0.26434317;-1.1084986;-0.12394327;chr14:13282860-13283583;Neurod2_+_(303g)
Gene;Synpr;-1.3091011;-0.26434317;-1.1084986;-0.12394327;chr14:13344016-13344881;Neurod2_+_(303g)
Gene;Synpr;-1.3091011;-0.26434317;-1.1084986;-0.12394327;chr14:13332274-13333180;Neurod2_+_(303g)
Gene;Synpr;-1.3091011;-0.26434317;-1.1084986;-0.12394327;chr14:13192483-13193397;Neurod2_+_(303g)
Gene;Synpr;-1.3091011;-0.26434317;-1.1084986;-0.12394327;chr14:13193734-13194459;Neurod2_+_(303g)
Gene;Whrn;-0.67482626;-1.1039056;-0.834666;-0.3761758;chr4:63427220-63428129;Neurod2_+_(303g)
Gene;Whrn;-0.67482626;-1.1039056;-0.834666;-0.3761758;chr4:63388951-63389883;Neurod2_+_(303g)
Gene;Lhx1;-2.778091;-1.0130335;-2.2423055;-0.4930271;chr11:84561431-84562327;Neurod2_+_(303g)
Gene;Lhx1;-2.778091;-1.0130335;-2.2423055;-0.4930271;chr11:84672610-84673463;Neurod2_+_(303g)
Gene;Lhx1;-2.778091;-1.0130335;-2.2423055;-0.4930271;chr11:84636976-84637918;Neurod2_+_(303g)
Gene;Lhx1;-2.778091;-1.0130335;-2.2423055;-0.4930271;chr11:84570066-84570959;Neurod2_+_(303g)
Gene;Lhx1;-2.778091;-1.0130335;-2.2423055;-0.4930271;chr11:84562907-84563710;Neurod2_+_(303g)
Gene;Lhx1;-2.778091;-1.0130335;-2.2423055;-0.4930271;chr11:84592673-84593508;Neurod2_+_(303g)
Gene;Lhx1;-2.778091;-1.0130335;-2.2423055;-0.4930271;chr11:84539978-84540930;Neurod2_+_(303g)
