Node_type;Gene;GEX_celltype_Log2FC_Delta;GEX_celltype_Log2FC_Epsprogenitors;GEX_celltype_Log2FC_Epsilon;GEX_celltype_Log2FC_Fev+Delta;GEX_celltype_Log2FC_Ngn3high;Region;Gene_signature_name
Gene;Doc2b;-1.1659628;0.5492328;-0.85427606;0.72772646;1.2965451;chr11:75702929-75703878;Neurod2_+_(303g)
Gene;Doc2b;-1.1659628;0.5492328;-0.85427606;0.72772646;1.2965451;chr11:75869651-75870571;Neurod2_+_(303g)
Gene;Doc2b;-1.1659628;0.5492328;-0.85427606;0.72772646;1.2965451;chr11:75659223-75660151;Neurod2_+_(303g)
Gene;Doc2b;-1.1659628;0.5492328;-0.85427606;0.72772646;1.2965451;chr11:75876154-75877098;Neurod2_+_(303g)
Gene;Doc2b;-1.1659628;0.5492328;-0.85427606;0.72772646;1.2965451;chr11:75903257-75903990;Neurod2_+_(303g)
Gene;Doc2b;-1.1659628;0.5492328;-0.85427606;0.72772646;1.2965451;chr11:75939795-75940703;Neurod2_+_(303g)
Gene;Doc2b;-1.1659628;0.5492328;-0.85427606;0.72772646;1.2965451;chr11:75909524-75910367;Neurod2_+_(303g)
Gene;Doc2b;-1.1659628;0.5492328;-0.85427606;0.72772646;1.2965451;chr11:75866689-75867557;Neurod2_+_(303g)
Gene;Doc2b;-1.1659628;0.5492328;-0.85427606;0.72772646;1.2965451;chr11:75807308-75808239;Neurod2_+_(303g)
Gene;Lmna;-0.15971921;0.9499529;0.16394897;0.6058808;0.8750041;chr3:88542013-88542874;Neurod2_+_(303g)
Gene;Lmna;-0.15971921;0.9499529;0.16394897;0.6058808;0.8750041;chr3:88435263-88435928;Neurod2_+_(303g)
Gene;Lmna;-0.15971921;0.9499529;0.16394897;0.6058808;0.8750041;chr3:88472841-88473864;Neurod2_+_(303g)
Gene;Lmna;-0.15971921;0.9499529;0.16394897;0.6058808;0.8750041;chr3:88449329-88450301;Neurod2_+_(303g)
Gene;Lmna;-0.15971921;0.9499529;0.16394897;0.6058808;0.8750041;chr3:88545126-88545754;Neurod2_+_(303g)
Gene;Lmna;-0.15971921;0.9499529;0.16394897;0.6058808;0.8750041;chr3:88561846-88562688;Neurod2_+_(303g)
Gene;Lmna;-0.15971921;0.9499529;0.16394897;0.6058808;0.8750041;chr3:88398447-88399342;Neurod2_+_(303g)
Gene;Lmna;-0.15971921;0.9499529;0.16394897;0.6058808;0.8750041;chr3:88333979-88334814;Neurod2_+_(303g)
Gene;Lmna;-0.15971921;0.9499529;0.16394897;0.6058808;0.8750041;chr3:88359661-88360665;Neurod2_+_(303g)
Gene;Btbd11;-2.1624568;1.5656387;-2.4713044;-0.1443097;2.615821;chr10:85327670-85328524;Neurod2_+_(303g)
Gene;Btbd11;-2.1624568;1.5656387;-2.4713044;-0.1443097;2.615821;chr10:85365445-85366351;Neurod2_+_(303g)
Gene;Btbd11;-2.1624568;1.5656387;-2.4713044;-0.1443097;2.615821;chr10:85655654-85656582;Neurod2_+_(303g)
Gene;Btbd11;-2.1624568;1.5656387;-2.4713044;-0.1443097;2.615821;chr10:85508066-85509069;Neurod2_+_(303g)
Gene;Btbd11;-2.1624568;1.5656387;-2.4713044;-0.1443097;2.615821;chr10:85359400-85360334;Neurod2_+_(303g)
Gene;Btbd11;-2.1624568;1.5656387;-2.4713044;-0.1443097;2.615821;chr10:85371054-85371965;Neurod2_+_(303g)
Gene;Btbd11;-2.1624568;1.5656387;-2.4713044;-0.1443097;2.615821;chr10:85497538-85498495;Neurod2_+_(303g)
Gene;Btbd11;-2.1624568;1.5656387;-2.4713044;-0.1443097;2.615821;chr10:85458737-85459648;Neurod2_+_(303g)
Gene;Btbd11;-2.1624568;1.5656387;-2.4713044;-0.1443097;2.615821;chr10:85425635-85426528;Neurod2_+_(303g)
Gene;Btbd11;-2.1624568;1.5656387;-2.4713044;-0.1443097;2.615821;chr10:85454109-85454983;Neurod2_+_(303g)
Gene;Btbd11;-2.1624568;1.5656387;-2.4713044;-0.1443097;2.615821;chr10:85737190-85738064;Neurod2_+_(303g)
Gene;Fbrsl1;0.029514538;0.26273856;-0.4141918;0.08947858;0.5407471;chr5:110471799-110472719;Neurod2_+_(303g)
Gene;Fbrsl1;0.029514538;0.26273856;-0.4141918;0.08947858;0.5407471;chr5:110371763-110372653;Neurod2_+_(303g)
Gene;Fbrsl1;0.029514538;0.26273856;-0.4141918;0.08947858;0.5407471;chr5:110443077-110443965;Neurod2_+_(303g)
Gene;Fbrsl1;0.029514538;0.26273856;-0.4141918;0.08947858;0.5407471;chr5:110413246-110414195;Neurod2_+_(303g)
Gene;Fbrsl1;0.029514538;0.26273856;-0.4141918;0.08947858;0.5407471;chr5:110392520-110393462;Neurod2_+_(303g)
Gene;Fbrsl1;0.029514538;0.26273856;-0.4141918;0.08947858;0.5407471;chr5:110454919-110455851;Neurod2_+_(303g)
Gene;Fbrsl1;0.029514538;0.26273856;-0.4141918;0.08947858;0.5407471;chr5:110564836-110565879;Neurod2_+_(303g)
Gene;Osbpl5;-0.8991145;1.0516049;-0.44106382;0.56524706;1.2123312;chr7:143767894-143768847;Neurod2_+_(303g)
Gene;Osbpl5;-0.8991145;1.0516049;-0.44106382;0.56524706;1.2123312;chr7:143785076-143785721;Neurod2_+_(303g)
Gene;Osbpl5;-0.8991145;1.0516049;-0.44106382;0.56524706;1.2123312;chr7:143741525-143742419;Neurod2_+_(303g)
Gene;Osbpl5;-0.8991145;1.0516049;-0.44106382;0.56524706;1.2123312;chr7:143905035-143906046;Neurod2_+_(303g)
Gene;Sh2d5;-0.8207166;0.206005;-0.93008924;-0.33801433;1.1114068;chr4:138377256-138378157;Neurod2_+_(303g)
Gene;Sh2d5;-0.8207166;0.206005;-0.93008924;-0.33801433;1.1114068;chr4:138288921-138289841;Neurod2_+_(303g)
Gene;Sh2d5;-0.8207166;0.206005;-0.93008924;-0.33801433;1.1114068;chr4:138136012-138136925;Neurod2_+_(303g)
Gene;Chn2;-3.4553149;2.1876554;0.5017337;0.5082051;1.9400945;chr6:54111149-54112025;Neurod2_+_(303g)
Gene;Chn2;-3.4553149;2.1876554;0.5017337;0.5082051;1.9400945;chr6:54443965-54444833;Neurod2_+_(303g)
Gene;Chn2;-3.4553149;2.1876554;0.5017337;0.5082051;1.9400945;chr6:53971821-53972756;Neurod2_+_(303g)
Gene;Chn2;-3.4553149;2.1876554;0.5017337;0.5082051;1.9400945;chr6:54409014-54409937;Neurod2_+_(303g)
Gene;Chn2;-3.4553149;2.1876554;0.5017337;0.5082051;1.9400945;chr6:54105467-54106343;Neurod2_+_(303g)
Gene;Chn2;-3.4553149;2.1876554;0.5017337;0.5082051;1.9400945;chr6:54070749-54071587;Neurod2_+_(303g)
Gene;Chn2;-3.4553149;2.1876554;0.5017337;0.5082051;1.9400945;chr6:53965625-53966580;Neurod2_+_(303g)
Gene;Chn2;-3.4553149;2.1876554;0.5017337;0.5082051;1.9400945;chr6:54119642-54120606;Neurod2_+_(303g)
Gene;Chn2;-3.4553149;2.1876554;0.5017337;0.5082051;1.9400945;chr6:54133105-54134012;Neurod2_+_(303g)
Gene;Chn2;-3.4553149;2.1876554;0.5017337;0.5082051;1.9400945;chr6:54362596-54363628;Neurod2_+_(303g)
Gene;Tmem82;-1.0753207;0.91280675;-0.35931405;-1.4883544;1.5947073;chr4:141749404-141750391;Neurod2_+_(303g)
Gene;Tmem82;-1.0753207;0.91280675;-0.35931405;-1.4883544;1.5947073;chr4:141766601-141767579;Neurod2_+_(303g)
Gene;Tmem82;-1.0753207;0.91280675;-0.35931405;-1.4883544;1.5947073;chr4:141751858-141752684;Neurod2_+_(303g)
Gene;Tmem82;-1.0753207;0.91280675;-0.35931405;-1.4883544;1.5947073;chr4:141751066-141751739;Neurod2_+_(303g)
Gene;Tmem82;-1.0753207;0.91280675;-0.35931405;-1.4883544;1.5947073;chr4:141552116-141553038;Neurod2_+_(303g)
Gene;Tmem82;-1.0753207;0.91280675;-0.35931405;-1.4883544;1.5947073;chr4:141621927-141622859;Neurod2_+_(303g)
Gene;Tmem82;-1.0753207;0.91280675;-0.35931405;-1.4883544;1.5947073;chr4:141569629-141570553;Neurod2_+_(303g)
Gene;Cd63;-0.043491364;0.26756984;0.074212536;0.20363721;0.2762502;chr10:128938413-128939416;Neurod2_+_(303g)
Gene;Cd63;-0.043491364;0.26756984;0.074212536;0.20363721;0.2762502;chr10:129025801-129026731;Neurod2_+_(303g)
Gene;Cd63;-0.043491364;0.26756984;0.074212536;0.20363721;0.2762502;chr10:128919074-128919846;Neurod2_+_(303g)
Gene;Cd63;-0.043491364;0.26756984;0.074212536;0.20363721;0.2762502;chr10:128790253-128791171;Neurod2_+_(303g)
Gene;Cd63;-0.043491364;0.26756984;0.074212536;0.20363721;0.2762502;chr10:128878523-128879305;Neurod2_+_(303g)
Gene;Cd63;-0.043491364;0.26756984;0.074212536;0.20363721;0.2762502;chr10:129028931-129029866;Neurod2_+_(303g)
Gene;Cd63;-0.043491364;0.26756984;0.074212536;0.20363721;0.2762502;chr10:128917943-128918779;Neurod2_+_(303g)
Gene;Krtap17-1;-1.9889005;1.5600064;-0.42226613;-0.1382318;2.066384;chr11:99955333-99956172;Neurod2_+_(303g)
Gene;Krtap17-1;-1.9889005;1.5600064;-0.42226613;-0.1382318;2.066384;chr11:99897186-99898123;Neurod2_+_(303g)
Gene;Krtap17-1;-1.9889005;1.5600064;-0.42226613;-0.1382318;2.066384;chr11:99914544-99915487;Neurod2_+_(303g)
Gene;Krtap17-1;-1.9889005;1.5600064;-0.42226613;-0.1382318;2.066384;chr11:99907940-99908950;Neurod2_+_(303g)
Gene;Krtap17-1;-1.9889005;1.5600064;-0.42226613;-0.1382318;2.066384;chr11:99948557-99949563;Neurod2_+_(303g)
Gene;Hpca;-1.885213;1.9621587;-0.04127128;1.470014;2.059056;chr4:129183935-129184875;Neurod2_+_(303g)
Gene;Hpca;-1.885213;1.9621587;-0.04127128;1.470014;2.059056;chr4:129241596-129242527;Neurod2_+_(303g)
Gene;Hpca;-1.885213;1.9621587;-0.04127128;1.470014;2.059056;chr4:129144428-129145271;Neurod2_+_(303g)
Gene;Spint1;-0.22294347;0.50929475;0.29067183;0.28259477;0.63893455;chr2:119334818-119335642;Neurod2_+_(303g)
Gene;Spint1;-0.22294347;0.50929475;0.29067183;0.28259477;0.63893455;chr2:119314706-119315786;Neurod2_+_(303g)
Gene;Spint1;-0.22294347;0.50929475;0.29067183;0.28259477;0.63893455;chr2:119325241-119326136;Neurod2_+_(303g)
Gene;Spint1;-0.22294347;0.50929475;0.29067183;0.28259477;0.63893455;chr2:119361977-119362975;Neurod2_+_(303g)
Gene;Spint1;-0.22294347;0.50929475;0.29067183;0.28259477;0.63893455;chr2:119172721-119173562;Neurod2_+_(303g)
Gene;Ndc1;-2.4324684;1.8092613;-0.19681907;0.36363924;1.9788895;chr4:107366054-107366846;Neurod2_+_(303g)
Gene;Ndc1;-2.4324684;1.8092613;-0.19681907;0.36363924;1.9788895;chr4:107364046-107364834;Neurod2_+_(303g)
Gene;Ndc1;-2.4324684;1.8092613;-0.19681907;0.36363924;1.9788895;chr4:107558349-107559372;Neurod2_+_(303g)
Gene;Ndc1;-2.4324684;1.8092613;-0.19681907;0.36363924;1.9788895;chr4:107221254-107222130;Neurod2_+_(303g)
Gene;Ndc1;-2.4324684;1.8092613;-0.19681907;0.36363924;1.9788895;chr4:107537975-107538926;Neurod2_+_(303g)
Gene;Ndc1;-2.4324684;1.8092613;-0.19681907;0.36363924;1.9788895;chr4:107520561-107521338;Neurod2_+_(303g)
Gene;Atg3;-0.22061242;0.7420379;0.2028541;0.3671211;0.54212224;chr16:45176068-45176963;Neurod2_+_(303g)
Gene;Dab1;-2.7693634;1.7528867;-1.116219;0.6954261;1.9942065;chr4:103989400-103990342;Neurod2_+_(303g)
Gene;Dab1;-2.7693634;1.7528867;-1.116219;0.6954261;1.9942065;chr4:104443418-104444328;Neurod2_+_(303g)
Gene;Dab1;-2.7693634;1.7528867;-1.116219;0.6954261;1.9942065;chr4:104415164-104416099;Neurod2_+_(303g)
Gene;Dab1;-2.7693634;1.7528867;-1.116219;0.6954261;1.9942065;chr4:104201477-104202365;Neurod2_+_(303g)
Gene;Klc3;-0.7428053;0.67442435;-0.038058504;0.71965367;0.58753276;chr7:19402235-19402908;Neurod2_+_(303g)
Gene;Klc3;-0.7428053;0.67442435;-0.038058504;0.71965367;0.58753276;chr7:19515748-19516641;Neurod2_+_(303g)
Gene;Klc3;-0.7428053;0.67442435;-0.038058504;0.71965367;0.58753276;chr7:19498837-19499669;Neurod2_+_(303g)
Gene;Klc3;-0.7428053;0.67442435;-0.038058504;0.71965367;0.58753276;chr7:19375429-19376362;Neurod2_+_(303g)
Gene;Klc3;-0.7428053;0.67442435;-0.038058504;0.71965367;0.58753276;chr7:19388362-19389274;Neurod2_+_(303g)
Gene;Klc3;-0.7428053;0.67442435;-0.038058504;0.71965367;0.58753276;chr7:19429431-19430312;Neurod2_+_(303g)
Gene;Btg2;-0.060025506;0.3103478;-0.20422389;0.21202973;0.35558277;chr1:134006023-134006980;Neurod2_+_(303g)
Gene;Btg2;-0.060025506;0.3103478;-0.20422389;0.21202973;0.35558277;chr1:134096230-134097111;Neurod2_+_(303g)
Gene;Prom2;-2.873212;1.2889662;0.16722895;1.0689687;1.43537;chr2:127516819-127517651;Neurod2_+_(303g)
Gene;Prom2;-2.873212;1.2889662;0.16722895;1.0689687;1.43537;chr2:127689457-127690308;Neurod2_+_(303g)
Gene;Prom2;-2.873212;1.2889662;0.16722895;1.0689687;1.43537;chr2:127518091-127518968;Neurod2_+_(303g)
Gene;Prom2;-2.873212;1.2889662;0.16722895;1.0689687;1.43537;chr2:127511192-127512031;Neurod2_+_(303g)
Gene;Prom2;-2.873212;1.2889662;0.16722895;1.0689687;1.43537;chr2:127502288-127503123;Neurod2_+_(303g)
Gene;Prom2;-2.873212;1.2889662;0.16722895;1.0689687;1.43537;chr2:127521827-127522567;Neurod2_+_(303g)
Gene;Tnnc1;-1.7474445;1.2964722;0.10834568;1.2180287;1.6209077;chr14:31168111-31169086;Neurod2_+_(303g)
Gene;Tnnc1;-1.7474445;1.2964722;0.10834568;1.2180287;1.6209077;chr14:31294371-31295318;Neurod2_+_(303g)
Gene;Tnnc1;-1.7474445;1.2964722;0.10834568;1.2180287;1.6209077;chr14:31193496-31194381;Neurod2_+_(303g)
Gene;Tnnc1;-1.7474445;1.2964722;0.10834568;1.2180287;1.6209077;chr14:31316167-31317175;Neurod2_+_(303g)
Gene;Fbxl16;0.17228667;0.6882464;0.15818855;0.572736;0.5969311;chr17:25802832-25803756;Neurod2_+_(303g)
Gene;Fbxl16;0.17228667;0.6882464;0.15818855;0.572736;0.5969311;chr17:25765626-25766553;Neurod2_+_(303g)
Gene;Fbxl16;0.17228667;0.6882464;0.15818855;0.572736;0.5969311;chr17:25887551-25888183;Neurod2_+_(303g)
Gene;Fbxl16;0.17228667;0.6882464;0.15818855;0.572736;0.5969311;chr17:25957397-25958279;Neurod2_+_(303g)
Gene;Ppp3ca;-0.088119745;0.41724637;-0.17070106;0.15509005;0.36976883;chr3:136826003-136826919;Neurod2_+_(303g)
Gene;Ppp3ca;-0.088119745;0.41724637;-0.17070106;0.15509005;0.36976883;chr3:136699278-136700142;Neurod2_+_(303g)
Gene;Ppp3ca;-0.088119745;0.41724637;-0.17070106;0.15509005;0.36976883;chr3:137010873-137012011;Neurod2_+_(303g)
Gene;Ppp3ca;-0.088119745;0.41724637;-0.17070106;0.15509005;0.36976883;chr3:136721556-136722434;Neurod2_+_(303g)
Gene;Ppp3ca;-0.088119745;0.41724637;-0.17070106;0.15509005;0.36976883;chr3:136684279-136685250;Neurod2_+_(303g)
Gene;Dock4;-2.2504787;1.3487499;-0.83870107;0.6073129;1.7188431;chr12:40616069-40617037;Neurod2_+_(303g)
Gene;Dock4;-2.2504787;1.3487499;-0.83870107;0.6073129;1.7188431;chr12:40622678-40623607;Neurod2_+_(303g)
Gene;Dock4;-2.2504787;1.3487499;-0.83870107;0.6073129;1.7188431;chr12:40651217-40652122;Neurod2_+_(303g)
Gene;Dpysl5;-1.833437;1.7891496;-1.2366389;0.24658437;2.0711665;chr5:30593934-30594779;Neurod2_+_(303g)
Gene;Dpysl5;-1.833437;1.7891496;-1.2366389;0.24658437;2.0711665;chr5:30624618-30625536;Neurod2_+_(303g)
Gene;Dpysl5;-1.833437;1.7891496;-1.2366389;0.24658437;2.0711665;chr5:30728581-30729579;Neurod2_+_(303g)
Gene;Dpysl5;-1.833437;1.7891496;-1.2366389;0.24658437;2.0711665;chr5:30741975-30742856;Neurod2_+_(303g)
Gene;Dpysl5;-1.833437;1.7891496;-1.2366389;0.24658437;2.0711665;chr5:30902553-30903465;Neurod2_+_(303g)
Gene;Dpysl5;-1.833437;1.7891496;-1.2366389;0.24658437;2.0711665;chr5:30822405-30823375;Neurod2_+_(303g)
Gene;Dpysl5;-1.833437;1.7891496;-1.2366389;0.24658437;2.0711665;chr5:30803540-30804427;Neurod2_+_(303g)
Gene;Dpysl5;-1.833437;1.7891496;-1.2366389;0.24658437;2.0711665;chr5:30739284-30740212;Neurod2_+_(303g)
Gene;Lynx1;-2.9659863;2.09219;-0.29848245;0.6119735;2.6400194;chr15:74675656-74676467;Neurod2_+_(303g)
Gene;Lynx1;-2.9659863;2.09219;-0.29848245;0.6119735;2.6400194;chr15:74659741-74660660;Neurod2_+_(303g)
Gene;Lynx1;-2.9659863;2.09219;-0.29848245;0.6119735;2.6400194;chr15:74728986-74729908;Neurod2_+_(303g)
Gene;Lynx1;-2.9659863;2.09219;-0.29848245;0.6119735;2.6400194;chr15:74724053-74724747;Neurod2_+_(303g)
Gene;Lynx1;-2.9659863;2.09219;-0.29848245;0.6119735;2.6400194;chr15:74698984-74699868;Neurod2_+_(303g)
Gene;Casz1;0.064620115;0.8102615;-0.48467222;0.3220922;0.7855162;chr4:148670929-148671876;Neurod2_+_(303g)
Gene;Casz1;0.064620115;0.8102615;-0.48467222;0.3220922;0.7855162;chr4:148853906-148854821;Neurod2_+_(303g)
Gene;Casz1;0.064620115;0.8102615;-0.48467222;0.3220922;0.7855162;chr4:148710022-148710890;Neurod2_+_(303g)
Gene;Casz1;0.064620115;0.8102615;-0.48467222;0.3220922;0.7855162;chr4:148866838-148867701;Neurod2_+_(303g)
Gene;Casz1;0.064620115;0.8102615;-0.48467222;0.3220922;0.7855162;chr4:148935048-148935952;Neurod2_+_(303g)
Gene;Casz1;0.064620115;0.8102615;-0.48467222;0.3220922;0.7855162;chr4:148789356-148790233;Neurod2_+_(303g)
Gene;Casz1;0.064620115;0.8102615;-0.48467222;0.3220922;0.7855162;chr4:148817817-148818780;Neurod2_+_(303g)
Gene;Fat1;-0.09489722;0.81581277;-0.2688107;0.39392853;0.5754965;chr8:45049229-45050133;Neurod2_+_(303g)
Gene;Fat1;-0.09489722;0.81581277;-0.2688107;0.39392853;0.5754965;chr8:44899426-44900222;Neurod2_+_(303g)
Gene;Fat1;-0.09489722;0.81581277;-0.2688107;0.39392853;0.5754965;chr8:45125363-45126341;Neurod2_+_(303g)
Gene;Fat1;-0.09489722;0.81581277;-0.2688107;0.39392853;0.5754965;chr8:44920471-44921431;Neurod2_+_(303g)
Gene;Fat1;-0.09489722;0.81581277;-0.2688107;0.39392853;0.5754965;chr8:44847465-44848521;Neurod2_+_(303g)
Gene;1520401A03Rik;-25.048838;1.0444373;-2.937756;1.2589554;2.7550988;chr17:23708807-23709658;Neurod2_+_(303g)
Gene;1520401A03Rik;-25.048838;1.0444373;-2.937756;1.2589554;2.7550988;chr17:23571065-23571922;Neurod2_+_(303g)
Gene;1520401A03Rik;-25.048838;1.0444373;-2.937756;1.2589554;2.7550988;chr17:23665766-23666382;Neurod2_+_(303g)
Gene;Lypd1;-1.0064805;-0.0817785;-24.321472;-1.1346735;1.6169223;chr1:125861236-125862177;Neurod2_+_(303g)
Gene;Lypd1;-1.0064805;-0.0817785;-24.321472;-1.1346735;1.6169223;chr1:125938551-125939430;Neurod2_+_(303g)
Gene;Lypd1;-1.0064805;-0.0817785;-24.321472;-1.1346735;1.6169223;chr1:125869804-125870869;Neurod2_+_(303g)
Gene;Mex3b;-2.4392197;-0.440457;-1.2957385;0.79870194;0.99682343;chr7:82751936-82752832;Neurod2_+_(303g)
Gene;Mex3b;-2.4392197;-0.440457;-1.2957385;0.79870194;0.99682343;chr7:82838715-82839629;Neurod2_+_(303g)
Gene;Mex3b;-2.4392197;-0.440457;-1.2957385;0.79870194;0.99682343;chr7:82905267-82906176;Neurod2_+_(303g)
Gene;Scin;-2.3047583;1.098614;0.7901625;1.1412385;1.5112275;chr12:40117651-40118247;Neurod2_+_(303g)
Gene;Scin;-2.3047583;1.098614;0.7901625;1.1412385;1.5112275;chr12:40124406-40125377;Neurod2_+_(303g)
Gene;Scin;-2.3047583;1.098614;0.7901625;1.1412385;1.5112275;chr12:39992652-39993513;Neurod2_+_(303g)
Gene;Rnf141;0.047075674;0.44748896;-0.51616734;-0.3583626;0.4629675;chr7:110762497-110763437;Neurod2_+_(303g)
Gene;Rnf141;0.047075674;0.44748896;-0.51616734;-0.3583626;0.4629675;chr7:110952520-110953466;Neurod2_+_(303g)
Gene;Rnf141;0.047075674;0.44748896;-0.51616734;-0.3583626;0.4629675;chr7:110793578-110794469;Neurod2_+_(303g)
Gene;Rnf141;0.047075674;0.44748896;-0.51616734;-0.3583626;0.4629675;chr7:110854262-110855125;Neurod2_+_(303g)
Gene;Rnf141;0.047075674;0.44748896;-0.51616734;-0.3583626;0.4629675;chr7:110980765-110981629;Neurod2_+_(303g)
Gene;Rnf141;0.047075674;0.44748896;-0.51616734;-0.3583626;0.4629675;chr7:110834254-110835175;Neurod2_+_(303g)
Gene;Bckdha;-0.28207958;0.2982548;0.42542762;0.5359974;0.44700667;chr7:25655415-25656390;Neurod2_+_(303g)
Gene;Dmwd;-0.3751215;0.47844076;-0.2755534;0.2604013;0.5782149;chr7:18942108-18943018;Neurod2_+_(303g)
Gene;Dmwd;-0.3751215;0.47844076;-0.2755534;0.2604013;0.5782149;chr7:19015686-19016523;Neurod2_+_(303g)
Gene;Dmwd;-0.3751215;0.47844076;-0.2755534;0.2604013;0.5782149;chr7:18949516-18950406;Neurod2_+_(303g)
