Marker peaks Fev+ Delta;p_val;avg_log2FC;pct.1;pct.2;p_val_adj
3-55351419-55352331;3250000;944711763759392;226;122;818634790590631
10-51726280-51727196;3330000;118223768754554;159;74;838102843023584
3-121853662-121854579;3540000;876899813387101;243;131;891717277187079
5-29506739-29507632;3760000;116675652289008;149;67;945804967486769
11-77500500-77501194;3820000;898369302857427;247;136;961309655241042
1-4824345-4825254;3920000;107084960549832;176;85;985649011015541
17-32453731-32454680;4560000;102951153005356;179;87;11469501192465
7-134900097-134901009;4700000;10766157303486;166;78;118190907389944
1-72913175-72914076;5150000;960582463664962;209;0.11;129529649793379
13-116489158-116490075;577000;968573138856368;206;108;145219322054958
11-113539215-113540099;6220000;709597342718357;321;194;156450007816015
8-105468990-105469908;6330000;970593278375206;209;0.11;159219532766431
8-119352464-119353243;67200;124093779215449;128;55;169064275253212
12-28055209-28056149;7380000;102097200518516;193;98;185693955092691
4-154182824-154183739;8160000;657481242011773;378;242;20534600932985
1-15636219-15637110;8250000;722600054413731;314;0.19;207749476378308
11-6603596-6604477;8690000;949673791339946;209;111;218626844396731
9-61325670-61326588;8780000;131699200581868;118;49;22099296709793
10-112593798-112594734;8790000;114574986006875;142;63;221122763214127
7-134685932-134686865;8860000;116055114965208;135;59;222922153625848
4-104445686-104446588;9250000;933583339555174;0.22;119;232818524327716
2-73095039-73095947;9910000;120250951555894;142;65;249357956992384
9-67965681-67966608;9920000;-217851061186089;41;148;249759144670052
8-123018340-123019172;10200000;13614146902966;108;44;255990512743478
10-5900478-5901271;10400000;706902836053884;331;205;26261179497896
11-81228979-81229886;10600000;105495968482516;169;82;266367198501076
9-97341549-97342484;10900000;858361231250561;257;0.15;273420558424943
6-124669165-124670017;11400000;135856222571243;108;44;286930778016446
5-64702797-64703682;12000000;941886005697073;203;107;301576385770317
7-101522927-101523850;1210000;-335852154519872;14;108;304387242486225
5-36135701-36136629;12200000;637038854775832;402;265;307516971597823
4-96797356-96798277;1240000;129881213574932;115;48;31236416585391
10-13446583-13447486;1250000;102066597925574;169;82;315435494357849
10-124670928-124671853;13100000;113443923194753;139;62;328920206926923
9-4371849-4372698;14600000;106982005641031;162;78;367808163136299
5-27742872-27743791;14700000;138639903025046;101;0.04;37090221850503
19-15836794-15837621;17200000;889069602144569;0.23;127;431628846280134
10-94567697-94568589;17600000;108362858324111;159;77;443752342299231
15-88360402-88361351;17700000;-192687057058118;44;153;445270768294932
8-26725274-26726185;18000000;123788901120466;125;55;453295504574827
7-115879411-115880323;1810000;104046392134226;172;86;454593490276699
13-99723978-99724794;19200000;115208239904043;139;64;483704020144772
3-51069045-51070197;19600000;133666516617548;101;0.04;493007552010215
1-151095818-151096727;20300000;914122275143597;213;116;512129163370354
7-139544954-139545882;20800000;-317544852117326;14;106;523869423810787
6-17589276-17590184;21300000;673004031769595;368;242;536016629492917
16-10990516-10991330;21400000;122831726613974;125;55;538190082693933
15-76138178-76139105;22100000;719051619604691;314;194;557274660796935
13-99278966-99279925;22800000;128884839049168;105;42;57320861910857
6-40431105-40432043;22900000;625810219436659;361;226;576815987754603
5-14625616-14626509;23000000;931508376445916;196;101;578916210974534
10-13705476-13706401;23100000;12313813294177;128;58;580292557866511
15-87665698-87666604;24200000;-285166712391096;17;111;609207781136654
1-64808880-64809782;2440000;752234035256796;294;179;613657709010683
8-88919013-88919883;25700000;133106260779471;101;41;647392473338728
3-122393034-122394001;25800000;847147802524562;243;142;65001539734065
1-127576786-127577701;26300000;-237707461297763;24;122;66137166974478
15-31280671-31281513;26500000;118475117419006;122;53;666125052908438
8-22353151-22354047;29000000;13009845334599;111;47;731017716553307
11-96674828-96675662;29500000;966236445430219;209;116;742890846319285
8-114294826-114295677;29900000;76094344379077;301;188;753084829570178
1-181445538-181446462;30100000;119609854898977;125;55;756646706888954
13-16715283-16716191;30100000;127176952934595;111;47;758281556057401
1-26052008-26052921;30200000;122726612557227;111;47;761284582480617
16-37389584-37390457;32200000;813168970460049;0.28;172;810361986732982
5-44151202-44152180;33200000;605448063542989;416;283;834313162075064
17-29086647-29087585;36400000;111895483064658;135;62;915988618114551
2-157512237-157513154;36500000;-209793166324161;34;135;919838237563561
8-125959071-125959954;37300000;80675124158226;233;0.13;939946735265002
1-134110047-134110996;40300000;991725294997536;172;87;101393523822462
19-24312570-24313495;40700000;-174690332077553;44;0.15;102525787542937
12-104964978-104965899;41300000;116402596959559;135;63;104013937619666
6-93223744-93224641;41800000;993948951377287;155;74;10523717936962
11-116865772-116866715;4260000;114308552721756;128;57;10715233614218
5-53142374-53143314;43000000;10180660493798;152;73;108141899718866
5-112645187-112646109;43000000;870944103554292;209;114;108197066664068
6-106891708-106892640;43300000;944997530351119;193;103;109082934987588
18-84414303-84415220;46000000;117602102193551;128;58;115822046450306
4-138426491-138427400;46600000;673954935251283;334;213;117394568818097
2-174021214-174022161;46700000;-150312667111966;68;179;11757172521541
12-95652186-95653127;47300000;101364054639373;169;86;119038713816497
18-82313721-82314652;4940000;990347576000813;176;91;12445277790517
16-45455726-45456562;5210000;103683117985087;155;75;131077774376874
1-24325696-24326617;52600000;120924055083083;125;57;132410625629113
16-57391106-57392011;52700000;-436044739193424;608;711;13275226573377
4-140396216-140397150;53400000;914082642032063;193;103;134375230393358
15-58383943-58384608;53400000;82609042570935;243;144;13446834141447
17-9967750-9968674;53500000;793036238426341;257;151;134761250358211
2-52623819-52624646;54900000;114472978118548;132;61;138135426052442
13-38351735-38352655;56300000;963822503077741;176;91;141757179832768
12-84203514-84204473;56500000;104203669559356;155;77;142128454049228
4-107749893-107750835;57500000;-144126491764758;68;0.18;144761475805947
2-101205387-101206310;58200000;605138983034323;382;253;146482315710861
13-69064799-69065736;5850000;112894666529434;135;63;147154153895955
1-91872061-91872993;59700000;906426507811439;206;113;150151521170641
14-47294068-47295008;6020000;120939571685068;122;55;151389820594232
11-121794324-121795237;61600000;102851162876037;169;87;155041976514673
9-59472317-59473235;6160000;128243749339612;101;42;155139593895067
7-67421323-67422266;6170000;970095198057191;166;83;155210749486018
2-134002983-134003895;62900000;736650445508422;0.27;163;158407377222623
4-55077901-55078821;63000000;966263798155531;176;92;158629671234561
3-136744120-136745080;65400000;117163462200743;128;59;164587914476259
4-37387939-37388764;66900000;11256934541957;135;63;168437566430124
10-94296912-94297828;67300000;122237980332825;108;46;169275034544564
1-162346353-162347278;69900000;107603117060575;139;65;175935449932269
19-7157427-7158340;69900000;880240934445953;223;127;176014513164445
14-27282289-27283228;72100000;105514618325727;142;68;181403839188369
8-35948533-35949464;73900000;106303396176512;155;77;185947536884433
8-9934697-9935657;74000000;813583340358047;236;137;186205097019257
1-9628171-9629115;74600000;111637428003817;135;64;187767396938888
1-43151229-43152085;75500000;100650850920982;166;85;190035961751927
6-17331301-17332222;78200000;125533263212244;111;49;196850881046231
13-57888916-57889888;8010000;857060445278893;209;114;201712411310285
3-136419700-136420642;81800000;125376018336116;108;47;205957085308552
8-3648693-3649597;83900000;126664934176555;105;44;211101220420547
7-110784687-110785607;88400000;662065576646904;321;201;222459439247146
6-140888338-140889266;90000000;863377257969812;209;117;226509444121717
14-25068188-25069099;90400000;682033026964918;297;183;227453224370242
2-157457038-157457921;90700000;51413387585581;483;351;22838208569567
4-72766203-72767117;90900000;801548315205128;264;161;228851019386052
2-96141154-96142088;92800000;114954993065725;125;57;233596780742037
8-72497601-72498536;9450000;973845082884153;162;82;237759347951823
3-128546137-128547063;96600000;982630865146722;172;91;243199488392839
17-85258640-85259580;103000000;901666545934008;199;0.11;25935889115303
14-65299113-65299941;103000000;116962071135821;125;58;260100324826875
4-134546613-134547605;105000000;121462079616885;115;52;263130072846598
11-40510193-40511127;105000000;582221261794189;392;0.27;263133808581645
14-69162177-69163106;105000000;982905747043565;172;89;264328905138611
2-3726368-3727883;108000000;96452642055716;166;85;271380590079507
14-102580646-102581587;108000000;126532585638758;101;43;272765485919407
17-40920886-40921806;10900000;119983608245331;125;58;273755380028267
6-37195566-37196507;110000000;739909748338786;267;161;27722942732152
10-24741438-24742368;115000000;94810138228527;196;108;288678838636663
17-36230967-36231887;115000000;-390308383080237;699;796;290191963332448
4-125315555-125316487;116000000;713389796930145;277;167;291837422157283
5-30255588-30256546;121000000;110503502719099;132;62;303623823310505
9-119087958-119088912;121000000;-100101002269686;142;263;303701467499558
5-120967530-120968458;123000000;111718558761836;132;62;309050533609079
18-19712586-19713485;12700000;12795461306766;101;43;319836162448191
11-32333041-32333862;127000000;118251376729821;108;47;320880982890902
4-4948760-4949685;129000000;872571504413648;203;113;325216004520831
18-55785610-55786533;129000000;948050686858875;182;98;325603187045404
16-29668206-29669115;130000000;642309606599522;334;212;326844534062114
8-26984322-26985248;130000000;528291544192485;463;0.33;327820429130255
12-40622678-40623607;1320000;677391994690066;307;195;331864989226087
5-111048756-111049639;132000000;103000030704012;149;74;332373670547389
18-39883866-39884777;133000000;-266283174279164;17;102;333912944631386
4-47289266-47290131;146000000;112142318552938;125;58;368190628099308
17-31355591-31356529;146000000;844335324961657;199;109;368669798388365
8-94066203-94067125;149000000;589641904699492;382;0.27;375989728248114
2-28591212-28591991;150000000;115795094596486;125;59;376702034721616
17-31057302-31058213;150000000;480483641376652;514;379;376841942900067
3-80708758-80709674;150000000;913553511977558;189;103;376994150030396
1-89495934-89496900;150000000;1069043782534;132;62;378414782766888
10-115777781-115778723;152000000;998526551431758;152;76;381818905735986
17-23680782-23681689;154000000;663957819490401;304;189;387904743540716
10-57499385-57500318;158000000;105660727239703;132;62;396686006091484
12-56242556-56243426;162000000;975864430585747;172;92;408935181992506
1-133180810-133181763;163000000;474460120437253;0.49;365;409214504974353
1-77174836-77175828;164000000;117163081127921;111;49;412780194150896
16-63650604-63651540;166000000;71592395324493;0.28;174;417473314079704
12-118125678-118126613;167000000;-21223462045261;27;117;419669841945649
17-39842876-39843797;168000000;-281971294294284;943;968;421675411918673
13-96962579-96963488;168000000;619974115848317;365;247;424034542352125
11-60176344-60177069;169000000;-918393575052459;145;266;425093035397101
19-61022471-61023398;169000000;715325124097487;284;178;42514627229916
1-38131841-38132719;181000000;928929101491433;182;99;455264155673264
9-5370690-5371567;201000000;107377022905867;135;65;505995019616912
6-137411723-137412658;204000000;894253345706949;169;87;513469011380457
10-117888501-117889412;204000000;-103830253276543;142;255;51426053995949
2-29646371-29647283;206000000;876152536981558;193;106;518350226334695
4-62627255-62628023;206000000;892626998976065;203;115;519509841499274
11-116921946-116922850;208000000;818090213652021;226;132;523962343435581
7-142357830-142358630;219000000;124133040116494;101;44;551580917297316
8-80788405-80789309;226000000;109047961390762;122;56;567747934558286
19-9965861-9966790;235000000;984271649904107;162;85;592454949384442
2-62382913-62383815;239000000;780781293100581;236;142;601234665101972
10-126380980-126381846;23900000;812835477909405;0.22;127;602411360202551
5-20830453-20831363;242000000;903489937596418;196;109;608966183725654
5-102781645-102782604;244000000;113263645600128;125;0.06;614926406888158
8-26471714-26472614;247000000;713349385320803;0.28;176;621936884726137
11-82472890-82473823;248000000;109419853152174;115;52;623743642109426
11-43563464-43564394;248000000;754167030359579;0.24;143;624219760113969
8-23167270-23168123;255000000;566215707772189;412;295;642094973981495
2-28637027-28637912;271000000;771401593267982;0.25;152;682861910596071
12-94749427-94750362;276000000;109334999492209;122;56;693799999194128
1-140396667-140397563;276000000;106058300017685;125;58;695099820360363
18-46983600-46984525;278000000;538507393409419;416;293;70014142712275
12-72667730-72668641;281000000;111693764885492;139;0.07;706390370195166
18-64944950-64945890;289000000;100504475249015;152;78;726090576833467
11-76476755-76477669;290000000;394793588317497;615;492;730704304573794
6-30597376-30598603;292000000;946608184552054;152;77;734991180186064
5-63169383-63170342;296000000;706513784036986;0.26;156;744372700493778
13-25971501-25972424;298000000;104860940266298;128;61;749578600720649
9-60929319-60930240;300000000;100513680962543;152;79;75437643190518
4-8291669-8292556;312000000;-195132389166918;0.03;119;784948878009679
2-84240919-84241805;322000000;110314053200501;122;57;809814846751883
1-157000739-157001634;322000000;907288127495001;186;103;810656297294175
4-140900709-140901501;322000000;101331444792127;142;71;811108094349726
11-102129787-102130907;32300000;686419135364055;294;194;812818519853382
11-52635427-52636367;324000000;820510648141759;196;0.11;815678108054523
15-74566490-74567428;326000000;894950269894092;172;92;819782212059475
6-90724791-90725689;328000000;785436449921399;236;143;825963847451158
2-66478104-66479025;329000000;12194988356738;111;51;826861817309876
18-35938047-35938842;329000000;668882565626322;284;177;827249462258691
10-91229230-91230123;332000000;-171589947354522;44;137;83483948075553
15-52413019-52413957;334000000;679578089311376;267;162;839686911105639
9-74602040-74602960;349000000;105708997211469;128;62;878514570859334
6-125574799-125575743;350000000;11412292931665;111;51;880725201106004
5-75378607-75379407;351000000;835151187188435;203;116;882812833738578
2-180095431-180096380;352000000;937630461032288;166;88;884806629541107
3-126044115-126045018;357000000;11103848353757;122;58;897628661796255
15-73560804-73561725;369000000;463987144497847;524;394;928471014318287
2-113887090-113888030;371000000;-236827206310457;24;106;934946861793911
6-125003518-125004440;3810000;732213255767576;0.27;175;958091412683559
7-35341024-35341972;38500000;908806968762311;172;93;969264728331401
8-26998960-26999890;392000000;751335074014938;0.23;136;987014192843388
15-52161439-52162313;415000000;559906895563832;382;269;1
19-40268213-40269157;425000000;914210518129771;176;97;1
6-143772349-143773273;429000000;89953692017321;169;91;1
13-18457330-18458268;434000000;-141729476274234;64;162;1
5-148526302-148527188;437000000;114703594571933;105;47;1
5-91434942-91435833;44200000;11025933337634;125;0.06;1
17-25363458-25364364;445000000;108343997433785;118;55;1
4-95098150-95099193;455000000;110215937801988;132;66;1
14-102925823-102926686;473000000;91689271800465;169;92;1
15-93873863-93874814;501000000;798500211039565;209;122;1
3-109568586-109569521;512000000;107086036287722;125;0.06;1
1-92698813-92699740;518000000;67796405202984;294;188;1
15-86962676-86963606;523000000;656274759430613;284;179;1
13-13862332-13863267;530000000;55543497453333;419;307;1
14-76582222-76583091;532000000;-201370856025542;34;118;1
7-74505245-74506168;563000000;77733085093493;226;137;1
18-52848625-52849531;564000000;106673397844794;122;58;1
3-74545939-74546897;568000000;113006131333589;108;49;1
5-53346483-53347390;56900000;894719873969604;169;92;1
7-31074147-31075060;570000000;705134160968483;264;168;1
4-140205631-140206594;578000000;104182511378924;132;65;1
2-91180431-91181301;590000000;104135240750148;132;66;1
14-101835795-101836663;599000000;109792818300992;118;56;1
3-107943327-107944245;608000000;890897666922662;166;88;1
14-12559112-12560052;622000000;590360957856102;338;225;1
12-83053904-83054794;623000000;973625202736159;145;75;1
2-75715965-75716862;627000000;728541250931241;236;143;1
13-55474194-55475137;628000000;661370836626709;301;196;1
8-36479956-36480839;63300000;102989518066408;132;65;1
4-74225085-74226096;636000000;111311055939113;118;57;1
5-115775170-115776076;648000000;875941896887825;186;105;1
3-5860218-5861115;672000000;-314103314234324;0.73;842;1
14-76687833-76688707;672000000;101876206912552;139;71;1
5-36772341-36773248;674000000;912585911412759;172;96;1
18-37216891-37217691;675000000;855645579600049;172;93;1
8-36031654-36032561;691000000;801517100494786;196;111;1
8-119465888-119466769;696000000;435525987900089;534;421;1
5-132290761-132291669;705000000;528012232423608;402;277;1
8-41050733-41051595;709000000;919235196566496;155;82;1
17-63146017-63146836;710000000;115339831155797;108;0.05;1
16-89950489-89951419;731000000;546685458467625;395;284;1
1-184065745-184066651;750000000;852956288484672;193;112;1
18-82921333-82922272;751000000;-703335275012105;213;331;1
2-165968664-165969585;769000000;814488059750673;206;121;1
1-63995565-63996482;773000000;911706854979572;169;94;1
2-135980150-135981055;776000000;840645632541768;172;93;1
13-44662914-44663822;779000000;622382261847998;314;208;1
16-33686829-33687717;793000000;903710019376671;166;0.09;1
2-133498448-133499330;799000000;656330976408052;294;195;1
19-37434257-37435191;800000000;48669148683417;459;333;1
19-14501956-14502852;813000000;678621391786997;243;147;1
8-104374701-104375618;81600000;742580995412134;257;163;1
8-89872464-89873395;834000000;108930908405914;115;55;1
19-59451198-59452128;849000000;999636138115063;145;76;1
11-75173056-75173951;850000000;366218308137318;622;0.52;1
14-11774975-11775881;861000000;652406524441678;294;194;1
9-62554328-62555214;865000000;598523338050622;331;225;1
15-48093403-48094358;868000000;-120550496813431;84;184;1
5-113164522-113165477;875000000;425511512371316;524;392;1
15-25678855-25679734;880000000;928462670026041;142;73;1
2-160485160-160486081;893000000;-207450782795467;27;107;1
X-60054889-60055806;900000000;86605432357445;176;97;1
7-16938145-16939075;90100000;117533353491387;101;46;1
13-18824467-18825384;902000000;816677533564515;196;114;1
14-28775404-28776299;912000000;916367763451739;162;89;1
