Cell_type;Known_progenitors;Known_descendants;Germ_layer;Alternative naming and additional notes:;Publications:;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14;Unnamed: 15;Unnamed: 16;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20;Unnamed: 21;Unnamed: 22;Unnamed: 23;Unnamed: 24;Unnamed: 25;Unnamed: 26;Unnamed: 27;Unnamed: 28;Unnamed: 29;Unnamed: 30;Unnamed: 31;Unnamed: 32;Unnamed: 33;Unnamed: 34;Unnamed: 35;Unnamed: 36
Caudal neuroectoderm;Epiblast;Spinal cord, Neural crest;Neuroectoderm;Rostral and caudal refers w.r.t. the isthmus (typically identified via Fgf-8), which then forms the boundary between midbraind and rhombomere 1 (most caudal part of hindbrain). Since I couldn't directly find how Qiu/Pijuan-Sala defined caudal/rostral neuroectoderm, and this classification is not really well established, I base this claim on the fact that Qiu claims that Pijuan-Sala used Gbx2 to identify caudal neuroectoderm. And PMID: 11748135 claims that Gbx2 is expressed only in hindbrain and not in midbrain. Weirdly, Qiu et al claim in their supplementary table that their prediction (rostral neuroectoderm -> hindbrain) is right.;Caudal neuroectoderm → Spinal cord: PMID: 29109536, PMID: 8895453;Caudal neuroectoderm → Neural crest: PMID: 22820859, PMID: 18523435;;;Spinal cord → Roof plate: PMID: 15215291;Spinal cord → Posterior floor plate: PMID: 12361970, PMID: 20516201, PMID: 9751734;Spinal cord → Motor neurons: PMID: 17282991, PMID: 21720386;;;;;;;;;;;;;;;;;;;;;;;;;
Spinal cord;Caudal neuroectoderm;Spinal cord (dorsal), Spinal cord (ventral), Spinal cord excitatory neurons, Spinal cord inhibitory neurons, Roof plate, Posterior floor plate, Motor neurons;Neuroectoderm;It's not super clear whether notochord cells become the floor plate or if early spinal chord cells become floor plate, but most reaserches seem to agree that it is probably the later. Most experiments have however been performed in chick.;Spinal cord → Spinal cord (dorsal): PMID: 22302816;Spinal cord → Spinal cord (ventral): PMID: 22302816;Spinal cord → Spinal cord excitatory neurons: PMID: 22302816, PMID: 27702783;Spinal cord → Spinal cord inhibitory neurons: PMID: 22302816, PMID: 27702783;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Spinal cord (dorsal);Spinal cord, Neuromesodermal progenitors;Roof plate;Neuroectoderm;/;Spinal cord (dorsal) → Roof plate: PMID: 15215291, https://doi.org/10.1038/nrn1520;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Spinal cord (ventral);Spinal cord, Neuromesodermal progenitors;Motor neurons;Neuroectoderm;/;Spinal cord (ventral) → Motor neurons: PMID: 17282991, PMID: 21720386;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Spinal cord excitatory neurons;Spinal cord, Neuron progenitor cells;/;Neuroectoderm;/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Spinal cord inhibitory neurons;Spinal cord, Neuron progenitor cells;/;Neuroectoderm;/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Caudal lateral epiblast;Epiblast, Primitive streak and adjacent ectoderm;Neuromesodermal progenitors;Neuroectoderm;/;Caudal lateral epiblast → Neuromesodermal progenitors: PMID: 31023877;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Neuromesodermal progenitors;Caudal lateral epiblast;Spinal cord (dorsal), Spinal cord (ventral), Paraxial mesoderm;Neuroectoderm;/;Neuromesodermal progenitors → Spinal cord (dorsal): PMID: 33520989;Neuromesodermal progenitors → Spinal cord (ventral): PMID: 33520989;Neuromesodermal progenitors → Paraxial mesoderm: PMID: 33520989;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rostral neuroectoderm;Epiblast;Neural crest, Forebrain/midbrain, Hindbrain;Neuroectoderm;/;Rostral neuroectoderm → Neural crest: PMID: 18523435,  PMID: 22820859;Rostral neuroectoderm → Forebrain/midbrain: PMID: 18679435, PMID: 8895453;Rostral neuroectoderm → Hindbrain: PMID: 16313396;;Neural crest → Chondrocyte and osteoblast progenitors: PMID: 26924989;Neural crest → Noradrenergic neurons: PMID: 23378583, PMID: 8873087;;;;;;;;;;;;;;;;;;;;;;;;;;
Neural crest;Rostral neuroectoderm, Caudal neuroectoderm;Neural crest (PNS glia), Neural crest (PNS neurons), Osteoblast progenitors, Branchial arch epithelium, Chondrocyte and osteoblast progenitors, Noradrenergic neurons, Motor neurons;Neuroectoderm;Neural crest cells are derived from cells from the neural plate border (which is between the presumptive neural epithelium and epidermis). But according to doi: https://doi.org/10.1101/2022.02.15.480567 neural crest is closes to neuroectoderm than surface ectoderm, so I assume rostral and caudal neuroectoderm will give rise to it. Neural crest gives rise to ear structures (PMID: 30455064), but only as glia cells and for cartilage;Neural crest → Neural crest (PNS glia): PMID: 26924989, PMID: 21525278;Neural crest → Neural crest (PNS neurons): PMID: 26924989, PMID: 21525278;Neural crest → Osteoblast progenitors: PMID: 26924989;Neural crest → Branchial arch epithelium: PMID: 14523380;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Neural crest (PNS glia);Neural crest;/;Neuroectoderm;/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Neural crest (PNS neurons);Neural crest;Olfactory sensory neurons;Neuroectoderm;/;Neural crest (PNS neurons) → Olfactory sensory neurons: PMID: 21943152;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Olfactory sensory neurons;Neural crest (PNS neurons), Neuron progenitor cells;/;Neuroectoderm;Also called Olfactory receptor neurons. Olfactory sensory neurons come from the olfactory placode, which in turn develops from surface ectoderm. Some autors (PMID: 21078992) claim that neural crest cells only become olfactory ensheathing cells, i.e. glia cells, and not olfactory sensory neurons. Others claim neural crest become olfactory sensory cells (PMID: 21943152). I decided to allow neural crest -> olf. sensory cells;;;;;Forebrain/midbrain → Neuron progenitor cells: PMID: 30574073;Forebrain/midbrain → Anterior floor plate: PMID: 15738958;Forebrain/midbrain → Roof plate: PMID: 27012761;;;;;;;;;;;;;;;;;;;;;;;;;
Forebrain/midbrain;Rostral neuroectoderm;Retinal primordium, Motor neurons, Mesencephalon/MHB, Di/telencephalon, Neuron progenitor cells, Anterior floor plate, Roof plate;Neuroectoderm;/;Forebrain/midbrain → Retinal primordium: PMID: 20959163;Forebrain/midbrain → Motor neurons: PMID: 16157277, PMID: 15664173;Forebrain/midbrain → Mesencephalon/MHB: self;Forebrain/midbrain → Di/telencephalon: self;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Retinal primordium;Forebrain/midbrain;Retinal pigment cells, Retinal neurons;Neuroectoderm;/;Retinal primordium → Retinal pigment cells: PMID: 20959163;Retinal primordium → Retinal neurons: PMID: 20959163;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Retinal pigment cells;Retinal primordium;/;Neuroectoderm;/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Retinal neurons;Retinal primordium;/;Neuroectoderm;/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Motor neurons;Forebrain/midbrain, Spinal cord, Spinal cord (ventral), Neural crest;/;Neuroectoderm;There are upper and lower motor neurons. Upper motor neurons in mouse are called Corticospinal motor neurons. Upper motor neurons (brain) come from cells in the forebrain/midbrain, and lower motor neurons (spine) develop from the ventral neural tube;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Noradrenergic neurons;Neural crest;/;Neuroectoderm;Most noradrenergic neurons are in the Locus coeruleus. Evidence of the embryonic origin of noradrenergic neurons is week, but neural crest seems to be the most likely candidate.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intermediate progenitor cells;Neuron progenitor cells;/;Neuroectoderm;"IPCs come from radial glia cells. Here, radial glia cells are most likely part of the made up cell type ""Neuron progenitor cells"". IPCs later become neurons, astrocytes, and oligodendrocytes. See PMID: 22512245";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Di/mesencephalon inhibitory neurons;Di/telencephalon, Mesencephalon/MHB, Neuron progenitor cells;/;Neuroectoderm;Inhibitory neurons are often GABA-ergic neurons;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mesencephalon/MHB;Forebrain/midbrain;Neuron progenitor cells, Di/mesencephalon inhibitory neurons, Di/mesencephalon excitatory neurons;Neuroectoderm;MHB=Midbrain-Hinbrain-Boundary, which is the Isthmus;Mesencephalon/MHB → Neuron progenitor cells: PMID: 30574073;Mesencephalon/MHB → Di/mesencephalon inhibitory neurons: self;Mesencephalon/MHB → Di/mesencephalon excitatory neurons: self;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Di/telencephalon;Forebrain/midbrain;Neuron progenitor cells, Inhibitory interneurons, Di/mesencephalon inhibitory neurons, Di/mesencephalon excitatory neurons;Neuroectoderm;/;Di/telencephalon → Neuron progenitor cells: PMID: 30574073;Di/telencephalon → Inhibitory interneurons: PMID: 30359598, PMID: 24723614;Di/telencephalon → DI/mesencephalon inhibitory neurons: self;Di/telencephalon → Di/mesencephalon excitatory neurons: self;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Inhibitory interneurons;Neuron progenitor cells, Di/telencephalon;/;Neuroectoderm;Interneurons all come from the subpallium, which is part of the telencephalon (PMID: 24723614);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Di/mesencephalon excitatory neurons;Neuron progenitor cells, Mesencephalon/MHB, Di/telencephalon;/;Neuroectoderm;/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Neuron progenitor cells;Forebrain/midbrain, Mesencephalon/MHB, Di/telencephalon, Hindbrain;Intermediate progenitor cells, Inhibitory interneurons, Di/mesencephalon inhibitory neurons, Spinal cord inhibitory neurons, Di/mesencephalon excitatory neurons, Spinal cord excitatory neurons, Olfactory sensory neurons;Neuroectoderm;Is a broad term applied to all sorts of early neuronal cells, see see PMID: 30574073. Here it was likely used to refer to not uniquelly characterizable “neuron progenitor cells”, i.e. neurons that give rise to other neurons. Therefore, exact identification of progenitor and descendent cell types is difficult.;Neuron progenitor cells → Olfactory sensory neurons: PMID: 21943152;All other “Neuron progenitor cells → “ -conncetions are considered self, since the definiton of NPCs is vague , see PMID: 30574073.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hindbrain;Rostral neuroectoderm;Roof plate, Anterior floor plate, Posterior floor plate, Neuron progenitor cells;Neuroectoderm;/;Hindbrain → Roof plate: PMID: 15215291;Hindbrain → Anterior floor plate: PMID: 15738958;Hindbrain → Posterior floor plate: PMID: 15738958;Hindbrain → Neuron progenitor cells: PMID: 30574073;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Roof plate;Spinal cord, Spinal cord (dorsal), Hindbrain, Forebrain/midbrain;/;Neuroectoderm;Roof plate is known to become Choroid plexus: https://doi.org/10.1007/978-94-007-1333-8_4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anterior floor plate;Forebrain/midbrain, Hindbrain;/;Neuroectoderm;Floor plate is separated into anterior and posterior by Qiu using Bmp7, such that anterior floor plate does express Bmp7 and posterior does not. PMID: 15738958 claims the anterior floor plate until into the hindbrain expresses Bmp7, while the floor palte posterior to that does not. Hence, the hindbrain is the boundary.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Posterior floor plate;Hindbrain, Spinal cord;/;Neuroectoderm;/;;;;;Primitive streak and adjacent ectoderm → Nascent mesoderm: PMID: 19720144;;;;;;;;;;;;;;;;;;;;;;;;;;;
Primitive streak and adjacent ectoderm;Epiblast;Caudal lateral epiblast, Surface ectoderm, Primordial germ cells, Anterior primitive streak, Nascent mesoderm;Other;/;"Primitive streak and adjacent ectoderm → Caudal lateral epiblast: self (the ""adjacent ectoderm"" reaches into the caudal lateral epiblast)";Primitive streak and adjacent ectoderm → Surface ectoderm: PMID: 2627894;Primitive streak and adjacent ectoderm → Primordial germ cells: PMID: 25298745, PMID: 7835158,  https://doi.org/10.1016/B978-012563455-7/50010-6, PMID: 1516475;Primitive streak and adjacent ectoderm → Anterior primitive streak: self;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Primordial germ cells;Epiblast, Primitive streak and adjacent ectoderm;/;Other;"Develop from the proximal epiblast, which is most likely contained here in the ""primtive streak and adjacent ectoderm"", instead of being the epiblast directly";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Otic epithelium;Placodal area;/;Surface_ectoderm;/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Olfactory epithelium;Placodal area;/;Surface_ectoderm;/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Branchial arch epithelium;Placodal area, Neural crest;/;Surface_ectoderm;/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fusing epithelium;Surface ectoderm;/;Surface_ectoderm;Refers to the cells above the closing neural tube;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Apical ectodermal ridge;Pre-epidermal keratinocytes;/;Surface_ectoderm;“AER-derived cells are gradually lost after E12.5 and no cells remain by birth” (PMID: 14623239);Apical ectodermal ridge → Pre-epidermal keratinocytes: PMID: 33043642;Apical ectodermal ridge → Epidermis: PMID: 33043642;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Epidermis;Pre-epidermal keratinocytes;/;Surface_ectoderm;/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pre-epidermal keratinocytes;Surface ectoderm;Apical ectodermal ridge, Epidermis;Surface_ectoderm;/;Pre-epidermal keratinocytes→ Apical epidermal ridge: PMID: 14623239;Pre-epidermal keratinocytes→ Epidermis: self;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Surface ectoderm;Primitive streak and adjacent ectoderm;Placodal area, Fusing epithelium, Pre-epidermal keratinocytes;Surface_ectoderm;/;Surface ectoderm → Placodal area: PMID: 25852475;Surface ectoderm → Fusing epithelium: PMID: 28196803;Surface ectoderm → Pre-epidermal keratinocytes: PMID: 25849374, PMID: 27550649;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Placodal area;Surface ectoderm;Otic epithelium, Olfactory epithelium, Branchial arch epithelium;Surface_ectoderm;/;Placodal area → Otic epithelium: PMID: 25852475;Placodal area → Olfactory epithelium: PMID: 31355196;Placodal area → Branchial arch epithelium: PMID: 23020903;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Foregut epithelium;Gut and lung epithelium;Lung epithelium, Pancreatic epithelium;Endoderm;/;Foregut epithelium → Lung epithelium: PMID: 21499038;Foregut epithelium → Pancreatic epithelium: PMID: 23630303;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Midgut/Hindgut epithelium;Gut and lung epithelium;/;Endoderm;/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lung epithelium;Gut and lung epithelium, Foregut epithelium;/;Endoderm;/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pancreatic epithelium;Gut and lung epithelium, Foregut epithelium;/;Endoderm;/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gut and lung epithelium;Gut, Definitive endoderm;Foregut epithelium, Lung epithelium, Pancreatic epithelium, Midgut/hindgut epithelium;Endoderm;/;Gut and lung epithelium → Foregut epithelium: PMID: 21499038;Gut and lung epithelium → Lung epithelium: PMID: 21499038;Gut and lung epithelium → Pancreatic epithelium: PMID: 23630303;Gut and lung epithelium → Midgut/hindgut epithelium: PMID: 33580156;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hepatocytes;Gut, Definitive endoderm;/;Endoderm;/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gut;Definitive endoderm;Gut and lung epithelium, Hepatocytes;Endoderm;/;Gut → Gut and lung epithelium: self;Gut → Hepatocytes: PMID: 16123587;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Definitive endoderm;Anterior primitive streak;Gut, Hepatocytes, Gut and lung epithelium;Endoderm;/;Definitive endoderm → Gut: PMID: 26134088;Definitive endoderm → Hepatocytes: PMID: 26134088, PMID: 16123587;Definitive endoderm → Gut and lung epithelium: PMID: 21499038, PMID: 26134088;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anterior primitive streak;Primitive streak and adjacent ectoderm;Definitive endoderm, Notochord, Nascent mesoderm;Other;/;Anterior primitive streak → Definitive endoderm: PMID: 19609969;Anterior primitive streak → Notochord: PMID: 19720144;Anterior primitive streak → Nascent mesoderm: PMID: 19720144;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notochord;Anterior primitive streak;Chondrocyte and osteoblast progenitors;Mesoderm;Notochord cells become nucleus pulposus cells (PMID: 29935307), but nucleus pulposus cells are really similar to chondrocytes / chondrocyte progenitors;Notochord → Chondrocyte and osteoblast progenitors: PMID: 29935307;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Osteoblast progenitors;Neural crest, Paraxial mesoderm, Somatic mesoderm, Chondrocyte and osteoblast progenitors, Mesenchymal stromal cells;/;Mesoderm;/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Myocytes;Skeletal muscle progenitors;/;Mesoderm;/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Skeletal muscle progenitors;Paraxial mesoderm;Myocytes;Mesoderm;/;Skeletal muscle progenitors → Myocytes: self;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Early chondrocytes;Chondrocyte and osteoblast progenitors, Mesenchymal stromal cells;/;Mesoderm;/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chondrocyte and osteoblast progenitors;Neural crest, Paraxial mesoderm, Somatic mesoderm, Notochord, Mesenchymal stromal cells;Osteoblast progenitors, Early chondrocytes;Mesoderm;/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Paraxial mesoderm;Nascent mesoderm, Neuromesodermal progenitors;Osteoblast progenitors, Skeletal muscle progenitors, Chondrocyte and osteoblast progenitors, Mesenchymal stromal cells;Mesoderm;Paraxial mesoderm becomes head mesenchyme (connective tissue and muscles of the face), sclerotome (vertebrae and associated ribs, tendons, and other tissues, such as vascular cells of the dorsal aorta, intervertebral blood vessels, and meninges) and dermomyotome (musculature of the back, rib cage, ventral body wall, and limbs + the dermis of the back);Paraxial mesoderm → Mesenchymal stromal cells: PMID: 33190044, PMID:18684722, PMID: 21112566;Paraxial mesoderm → Osteoblast progenitors: PMID: 32788657;Paraxial mesoderm → Skeletal muscle progenitors: PMID: 32788657;Paraxial mesoderm → Chondrocyte and osteoblast progenitors: PMID: 32788657;Nascent mesoderm → Amniochorionic mesoderm: PMID: 31476530, PMID: 32788657;Nascent mesoderm → Mixed mesoderm: PMID: 31476530, PMID: 32788657;Nascent mesoderm → Extraembryonic mesoderm: PMID: 31476530, PMID: 32788657;;;;;;;;;;;;;;;;;;;;;;;;;
Nascent mesoderm;Primitive streak and adjacent ectoderm, Anterior primitive streak;Paraxial mesoderm, Intermediate mesoderm, Somatic mesoderm, Splanchnic mesoderm, Amniochorionic mesoderm, Mixed mesoderm, Extraembryonic mesoderm, Hematoendothelial progenitors;Mesoderm;/;Nascent mesoderm → Paraxial mesoderm: PMID: 31476530, PMID: 32788657;Nascent mesoderm → Intermediate mesoderm: PMID: 31476530, PMID: 32788657;Nascent mesoderm → Somatic mesoderm: PMID: 31476530, PMID: 32788657;Nascent mesoderm → Splanchnic mesoderm: PMID: 31476530, PMID: 32788657;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intermediate mesoderm;Nascent mesoderm;Renal epithelium;Mesoderm;The intermediate mesoderm forms the urogenital system, including the kidneys and gonads;Intermediate mesoderm → Renal epithelium: PMID: 19906853, PMID: 32788657;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Renal epithelium;Intermediate mesoderm;/;Mesoderm;/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mesenchymal stromal cells;Paraxial mesoderm, Somatic mesoderm;Osteoblast progenitors, Early chondrocytes, Chondrocyte and osteoblast progenitors;Mesoderm;Their developmental origin remains poorly understood (PMID: 33190044), but seems to be most likely a mesodermal;Mesenchymal stromal cells → Chondro-/Osteos: PMID: 26589542;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Somatic mesoderm;Nascent mesoderm;Osteoblast progenitors, Chondrocyte and osteoblast progenitors, Limb mesenchyme progenitors, Mesenchymal stromal cells;Mesoderm;Also called somatopleuric mesoderm, or parietal layer. Forms the pelvic skeleton and mesodermal components of the limbs, with the exception of the muscles.;Somatic mesoderm → Osteoblast progenitors: PMID: 32561665, PMID: 35159230;Somatic mesoderm → Chondrocyte and osteoblast progenitors: PMID: 32561665, PMID: 35159230;Somatic mesoderm → Limb mesenchyme progenitors: PMID: 32561665, PMID: 35159230, PMID: 32788657;Somatic mesoderm → Mesenchymal stromal cells: PMID: 33190044;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Connective tissue progenitors;Splanchnic mesoderm, Limb mesenchyme progenitors;/;Mesoderm;/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Limb mesenchyme progenitors;Somatic mesoderm;Connective tissue progenitors;Mesoderm;/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cardiomyocytes;First heart field, Second heart field;/;Mesoderm;/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
First heart field;Splanchnic mesoderm;Cardiomyocytes;Mesoderm;/;First heart field →Cardiomyocytes: PMID: 31342113;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Second heart field;Splanchnic mesoderm;Cardiomyocytes;Mesoderm;/;Second heart field →Cardiomyocytes: PMID: 31342113;;;;Splanchnic mesoderm →Endothelium: PMID: 19037654;;;;;;;;;;;;;;;;;;;;;;;;;;;
Splanchnic mesoderm;Nascent mesoderm, Mixed mesoderm;First heart field, Second heart field, Connective tissue progenitors, Hematoendothelial progenitors, Endothelium;Mesoderm;Also called splanchnopleuric mesoderm, or visceral layer. It surrounds the developing gut tube (differentiates into smooth muscle cells and connective tissue of stomach, intestines, liver, and pancreas) and also gives rise to the blood vessels and blood cells of the circulatory system.;Splanchnic mesoderm →First heart field: PMID: 25274757;Splanchnic mesoderm →Second heart field: PMID: PMID: 23051926;Splanchnic mesoderm →Connective tissue progenitors: PMID: 19037654;Splanchnic mesoderm →Hematoendothelial progenitors: PMID: 8808626, PMID: 19037654;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amniochorionic mesoderm;Nascent mesoderm, Mixed mesoderm;/;Mesoderm;The mesoderm of the amniochorion develops from extraembryonic mesoderm, accumulating into the amniochorionic fold (PMID: 21806820);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Extraembryonic mesoderm;Nascent mesoderm, Mixed mesoderm;Allantois, Blood progenitors, Hematoendothelial progenitors;Mesoderm;Refers to visceral+parietal mesoderm. The lateral plate mesoderm splits horizontally into the dorsal somatic (parietal) mesoderm (becomes wall of amnion), which underlies the ectoderm, and the ventral splanchnic (visceral) mesoderm (becomes wall of yolk sac), which overlies the endoderm (https://www.ncbi.nlm.nih.gov/books/NBK9982/).;Extraembryonic mesoderm → Allantois: PMID: 19191225, PMID: 22855605;Extraembryonic mesoderm → Blood progenitors: PMID: 30079337, PMID: 33783643;Extraembryonic mesoderm → Hematoendothelial progenitors: PMID: 30079337, PMID: 33783643;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Allantois;Mixed mesoderm, Extraembryonic mesoderm;/;Mesoderm;Parts of the allantois become the umbilical cord (together with yolk sac);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mixed mesoderm;Nascent mesoderm;Allantois, Amniochorionic mesoderm, Splanchnic mesoderm, Extraembryonic mesoderm;Mesoderm;Mixed mesoderm is not a widely used term. It most likely refers to not strictly defined mesodermal cells. From the progenitors it looks as though this mostly corresponds to extraembryonic mesoderm and some part of the lateral plate mesoderm;Mixed mesoderm → Allantois: PMID: 22855605;Mixed mesoderm → Amniochorionic mesoderm: PMID: 21806820;Mixed mesoderm → Splanchnic mesoderm: PMID: 32788657;Mixed mesoderm → Extraembryonic mesoderm: PMID: 21806820;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brain endothelium;Endothelium;/;Mesoderm;/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Liver endothelium;Endothelium;/;Mesoderm;/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
