Unnamed: 0;Unnamed: 0.1;Node_type;Gene;GEX_celltype_Log2FC_Delta;GEX_celltype_Log2FC_Epsprogenitors;GEX_celltype_Log2FC_Epsilon;GEX_celltype_Log2FC_Fev+Delta;Region;Gene_signature_name
1105;Tmem200a;Gene;Tmem200a;-0.7810449;1.4994178;0.4183412;0.9334384;chr10:25931232-25932361;Neurod2_+_(303g)
1106;Tmem200a;Gene;Tmem200a;-0.7810449;1.4994178;0.4183412;0.9334384;chr10:26017950-26018521;Neurod2_+_(303g)
1107;Tmem200a;Gene;Tmem200a;-0.7810449;1.4994178;0.4183412;0.9334384;chr10:26024308-26025222;Neurod2_+_(303g)
1108;Tmem200a;Gene;Tmem200a;-0.7810449;1.4994178;0.4183412;0.9334384;chr10:25886954-25887830;Neurod2_+_(303g)
555;Kcnip3;Gene;Kcnip3;-1.9308927;1.2172928;0.24770142;0.9321479;chr2:127511192-127512031;Neurod2_+_(303g)
556;Kcnip3;Gene;Kcnip3;-1.9308927;1.2172928;0.24770142;0.9321479;chr2:127516819-127517651;Neurod2_+_(303g)
557;Kcnip3;Gene;Kcnip3;-1.9308927;1.2172928;0.24770142;0.9321479;chr2:127371133-127372090;Neurod2_+_(303g)
558;Kcnip3;Gene;Kcnip3;-1.9308927;1.2172928;0.24770142;0.9321479;chr2:127502288-127503123;Neurod2_+_(303g)
559;Kcnip3;Gene;Kcnip3;-1.9308927;1.2172928;0.24770142;0.9321479;chr2:127514353-127515256;Neurod2_+_(303g)
560;Kcnip3;Gene;Kcnip3;-1.9308927;1.2172928;0.24770142;0.9321479;chr2:127324836-127325713;Neurod2_+_(303g)
561;Kcnip3;Gene;Kcnip3;-1.9308927;1.2172928;0.24770142;0.9321479;chr2:127342730-127343577;Neurod2_+_(303g)
562;Kcnip3;Gene;Kcnip3;-1.9308927;1.2172928;0.24770142;0.9321479;chr2:127521827-127522567;Neurod2_+_(303g)
563;Kcnip3;Gene;Kcnip3;-1.9308927;1.2172928;0.24770142;0.9321479;chr2:127518091-127518968;Neurod2_+_(303g)
716;Igsf21;Gene;Igsf21;-0.78978777;1.4404446;0.24677175;0.9321446;chr4:140187483-140188380;Neurod2_+_(303g)
717;Igsf21;Gene;Igsf21;-0.78978777;1.4404446;0.24677175;0.9321446;chr4:140192158-140192996;Neurod2_+_(303g)
718;Igsf21;Gene;Igsf21;-0.78978777;1.4404446;0.24677175;0.9321446;chr4:139978494-139979382;Neurod2_+_(303g)
719;Igsf21;Gene;Igsf21;-0.78978777;1.4404446;0.24677175;0.9321446;chr4:140226358-140227275;Neurod2_+_(303g)
720;Igsf21;Gene;Igsf21;-0.78978777;1.4404446;0.24677175;0.9321446;chr4:140272808-140273756;Neurod2_+_(303g)
721;Igsf21;Gene;Igsf21;-0.78978777;1.4404446;0.24677175;0.9321446;chr4:140235369-140236189;Neurod2_+_(303g)
722;Igsf21;Gene;Igsf21;-0.78978777;1.4404446;0.24677175;0.9321446;chr4:140229403-140230244;Neurod2_+_(303g)
723;Igsf21;Gene;Igsf21;-0.78978777;1.4404446;0.24677175;0.9321446;chr4:140242002-140242911;Neurod2_+_(303g)
724;Igsf21;Gene;Igsf21;-0.78978777;1.4404446;0.24677175;0.9321446;chr4:140223835-140224746;Neurod2_+_(303g)
725;Igsf21;Gene;Igsf21;-0.78978777;1.4404446;0.24677175;0.9321446;chr4:140170936-140171819;Neurod2_+_(303g)
726;Igsf21;Gene;Igsf21;-0.78978777;1.4404446;0.24677175;0.9321446;chr4:140384767-140385601;Neurod2_+_(303g)
727;Igsf21;Gene;Igsf21;-0.78978777;1.4404446;0.24677175;0.9321446;chr4:140218753-140219643;Neurod2_+_(303g)
728;Igsf21;Gene;Igsf21;-0.78978777;1.4404446;0.24677175;0.9321446;chr4:140372562-140373482;Neurod2_+_(303g)
1298;Pdlim4;Gene;Pdlim4;0.22490793;1.9978863;-0.38899463;0.9188821;chr11:54067047-54067948;Neurod2_+_(303g)
1299;Pdlim4;Gene;Pdlim4;0.22490793;1.9978863;-0.38899463;0.9188821;chr11:54195747-54196671;Neurod2_+_(303g)
1300;Pdlim4;Gene;Pdlim4;0.22490793;1.9978863;-0.38899463;0.9188821;chr11:54058348-54059244;Neurod2_+_(303g)
1301;Pdlim4;Gene;Pdlim4;0.22490793;1.9978863;-0.38899463;0.9188821;chr11:54055765-54056686;Neurod2_+_(303g)
1302;Pdlim4;Gene;Pdlim4;0.22490793;1.9978863;-0.38899463;0.9188821;chr11:54122327-54123283;Neurod2_+_(303g)
1303;Pdlim4;Gene;Pdlim4;0.22490793;1.9978863;-0.38899463;0.9188821;chr11:54072865-54073796;Neurod2_+_(303g)
1304;Pdlim4;Gene;Pdlim4;0.22490793;1.9978863;-0.38899463;0.9188821;chr11:54131975-54132942;Neurod2_+_(303g)
1592;Tgm7;Gene;Tgm7;-3.6025212;2.3713067;-1.1868914;0.9164823;chr2:121105662-121106526;Neurod2_+_(303g)
1593;Tgm7;Gene;Tgm7;-3.6025212;2.3713067;-1.1868914;0.9164823;chr2:121091903-121092735;Neurod2_+_(303g)
1594;Tgm7;Gene;Tgm7;-3.6025212;2.3713067;-1.1868914;0.9164823;chr2:121036508-121037445;Neurod2_+_(303g)
1595;Tgm7;Gene;Tgm7;-3.6025212;2.3713067;-1.1868914;0.9164823;chr2:121085269-121086214;Neurod2_+_(303g)
1596;Tgm7;Gene;Tgm7;-3.6025212;2.3713067;-1.1868914;0.9164823;chr2:121128794-121129719;Neurod2_+_(303g)
781;Mfap4;Gene;Mfap4;-1.3577592;1.5748885;0.8481266;0.8943049;chr11:61484355-61485269;Neurod2_+_(303g)
782;Mfap4;Gene;Mfap4;-1.3577592;1.5748885;0.8481266;0.8943049;chr11:61611887-61612849;Neurod2_+_(303g)
783;Mfap4;Gene;Mfap4;-1.3577592;1.5748885;0.8481266;0.8943049;chr11:61553883-61554751;Neurod2_+_(303g)
784;Mfap4;Gene;Mfap4;-1.3577592;1.5748885;0.8481266;0.8943049;chr11:61487149-61488075;Neurod2_+_(303g)
785;Mfap4;Gene;Mfap4;-1.3577592;1.5748885;0.8481266;0.8943049;chr11:61478032-61478880;Neurod2_+_(303g)
786;Mfap4;Gene;Mfap4;-1.3577592;1.5748885;0.8481266;0.8943049;chr11:61550438-61551312;Neurod2_+_(303g)
1564;Igfbpl1;Gene;Igfbpl1;-1.950032;1.4424739;0.38773823;0.8740713;chr4:45699399-45700306;Neurod2_+_(303g)
1565;Igfbpl1;Gene;Igfbpl1;-1.950032;1.4424739;0.38773823;0.8740713;chr4:45833316-45834162;Neurod2_+_(303g)
1566;Igfbpl1;Gene;Igfbpl1;-1.950032;1.4424739;0.38773823;0.8740713;chr4:45738638-45739561;Neurod2_+_(303g)
1567;Igfbpl1;Gene;Igfbpl1;-1.950032;1.4424739;0.38773823;0.8740713;chr4:45800035-45800545;Neurod2_+_(303g)
1568;Igfbpl1;Gene;Igfbpl1;-1.950032;1.4424739;0.38773823;0.8740713;chr4:45848496-45849427;Neurod2_+_(303g)
1569;Igfbpl1;Gene;Igfbpl1;-1.950032;1.4424739;0.38773823;0.8740713;chr4:45822880-45823617;Neurod2_+_(303g)
1570;Igfbpl1;Gene;Igfbpl1;-1.950032;1.4424739;0.38773823;0.8740713;chr4:45755814-45756372;Neurod2_+_(303g)
383;Pgm2l1;Gene;Pgm2l1;-1.7708087;1.1784512;-0.28931624;0.86680984;chr7:100214982-100215813;Neurod2_+_(303g)
465;Flnc;Gene;Flnc;-3.9672232;1.2399685;-0.3445682;0.8595412;chr6:29539325-29540069;Neurod2_+_(303g)
466;Flnc;Gene;Flnc;-3.9672232;1.2399685;-0.3445682;0.8595412;chr6:29535022-29535978;Neurod2_+_(303g)
467;Flnc;Gene;Flnc;-3.9672232;1.2399685;-0.3445682;0.8595412;chr6:29540121-29540747;Neurod2_+_(303g)
468;Flnc;Gene;Flnc;-3.9672232;1.2399685;-0.3445682;0.8595412;chr6:29523590-29524527;Neurod2_+_(303g)
1442;Actn3;Gene;Actn3;-1.468939;1.2675339;-1.1603923;0.8354482;chr19:4833842-4834737;Neurod2_+_(303g)
1443;Actn3;Gene;Actn3;-1.468939;1.2675339;-1.1603923;0.8354482;chr19:4835902-4836863;Neurod2_+_(303g)
1444;Actn3;Gene;Actn3;-1.468939;1.2675339;-1.1603923;0.8354482;chr19:4862766-4863703;Neurod2_+_(303g)
1445;Actn3;Gene;Actn3;-1.468939;1.2675339;-1.1603923;0.8354482;chr19:4897150-4898168;Neurod2_+_(303g)
1446;Actn3;Gene;Actn3;-1.468939;1.2675339;-1.1603923;0.8354482;chr19:4899643-4900569;Neurod2_+_(303g)
985;Npr2;Gene;Npr2;0.41595227;1.1314188;0.8995622;0.83006006;chr4:43708187-43709165;Neurod2_+_(303g)
986;Npr2;Gene;Npr2;0.41595227;1.1314188;0.8995622;0.83006006;chr4:43720098-43720992;Neurod2_+_(303g)
987;Npr2;Gene;Npr2;0.41595227;1.1314188;0.8995622;0.83006006;chr4:43702823-43703817;Neurod2_+_(303g)
988;Npr2;Gene;Npr2;0.41595227;1.1314188;0.8995622;0.83006006;chr4:43696398-43697184;Neurod2_+_(303g)
513;Btbd17;Gene;Btbd17;-1.7026016;1.4353995;-0.37362078;0.81267697;chr11:114930909-114931863;Neurod2_+_(303g)
514;Btbd17;Gene;Btbd17;-1.7026016;1.4353995;-0.37362078;0.81267697;chr11:114741239-114742203;Neurod2_+_(303g)
515;Btbd17;Gene;Btbd17;-1.7026016;1.4353995;-0.37362078;0.81267697;chr11:114893441-114894414;Neurod2_+_(303g)
516;Btbd17;Gene;Btbd17;-1.7026016;1.4353995;-0.37362078;0.81267697;chr11:114822624-114823448;Neurod2_+_(303g)
517;Btbd17;Gene;Btbd17;-1.7026016;1.4353995;-0.37362078;0.81267697;chr11:114795035-114795898;Neurod2_+_(303g)
518;Btbd17;Gene;Btbd17;-1.7026016;1.4353995;-0.37362078;0.81267697;chr11:114696265-114697167;Neurod2_+_(303g)
519;Btbd17;Gene;Btbd17;-1.7026016;1.4353995;-0.37362078;0.81267697;chr11:114774805-114775770;Neurod2_+_(303g)
641;Cd40;Gene;Cd40;-1.7855263;1.8039663;-1.9080365;0.80090076;chr2:165220131-165220963;Neurod2_+_(303g)
642;Cd40;Gene;Cd40;-1.7855263;1.8039663;-1.9080365;0.80090076;chr2:165073161-165074044;Neurod2_+_(303g)
643;Cd40;Gene;Cd40;-1.7855263;1.8039663;-1.9080365;0.80090076;chr2:165101653-165102555;Neurod2_+_(303g)
644;Cd40;Gene;Cd40;-1.7855263;1.8039663;-1.9080365;0.80090076;chr2:165049375-165050306;Neurod2_+_(303g)
645;Cd40;Gene;Cd40;-1.7855263;1.8039663;-1.9080365;0.80090076;chr2:165180656-165181563;Neurod2_+_(303g)
646;Cd40;Gene;Cd40;-1.7855263;1.8039663;-1.9080365;0.80090076;chr2:165182050-165183007;Neurod2_+_(303g)
647;Cd40;Gene;Cd40;-1.7855263;1.8039663;-1.9080365;0.80090076;chr2:165141868-165142772;Neurod2_+_(303g)
648;Cd40;Gene;Cd40;-1.7855263;1.8039663;-1.9080365;0.80090076;chr2:165086422-165087334;Neurod2_+_(303g)
1272;Srrm4;Gene;Srrm4;-1.2054392;1.5728782;-1.2930789;0.79824126;chr5:116529238-116530159;Neurod2_+_(303g)
1273;Srrm4;Gene;Srrm4;-1.2054392;1.5728782;-1.2930789;0.79824126;chr5:116526110-116526969;Neurod2_+_(303g)
1274;Srrm4;Gene;Srrm4;-1.2054392;1.5728782;-1.2930789;0.79824126;chr5:116571037-116571968;Neurod2_+_(303g)
1275;Srrm4;Gene;Srrm4;-1.2054392;1.5728782;-1.2930789;0.79824126;chr5:116569236-116570151;Neurod2_+_(303g)
1276;Srrm4;Gene;Srrm4;-1.2054392;1.5728782;-1.2930789;0.79824126;chr5:116581817-116583504;Neurod2_+_(303g)
1121;Zfp423;Gene;Zfp423;-2.551825;1.6685299;-1.7423156;0.79619426;chr8:87924895-87925826;Neurod2_+_(303g)
1122;Zfp423;Gene;Zfp423;-2.551825;1.6685299;-1.7423156;0.79619426;chr8:87940395-87941295;Neurod2_+_(303g)
1123;Zfp423;Gene;Zfp423;-2.551825;1.6685299;-1.7423156;0.79619426;chr8:87707782-87708699;Neurod2_+_(303g)
1124;Zfp423;Gene;Zfp423;-2.551825;1.6685299;-1.7423156;0.79619426;chr8:87645068-87645945;Neurod2_+_(303g)
1125;Zfp423;Gene;Zfp423;-2.551825;1.6685299;-1.7423156;0.79619426;chr8:87996210-87997166;Neurod2_+_(303g)
1126;Zfp423;Gene;Zfp423;-2.551825;1.6685299;-1.7423156;0.79619426;chr8:87620107-87620931;Neurod2_+_(303g)
1127;Zfp423;Gene;Zfp423;-2.551825;1.6685299;-1.7423156;0.79619426;chr8:87621273-87621901;Neurod2_+_(303g)
